Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
506,647,342,0,505,0,377,0,0,0,370,259,0,0,0,0
516,645,335,0,504,0,358,0,0,0,360,261,0,0,0,0
564,603,250,0,515,0,201,0,0,0,270,244,0,0,0,0
616,570,198,0,262,103,34,0,0,0,209,230,0,0,0,0
648,559,148,0,23,161,71,0,0,0,250,226,0,0,0,0
671,546,45,0,285,424,12,0,0,0,194,212,0,0,0,0
679,568,82,0,356,447,9,0,0,0,286,231,0,0,0,0
683,561,84,0,210,308,2,0,0,0,295,250,0,0,0,0
662,544,64,0,162,198,0,0,0,0,245,209,0,0,0,0
636,577,143,0,335,31,0,0,0,0,246,217,0,0,0,0
522,617,358,0,73,18,39,0,0,0,407,225,0,0,0,0
537,626,369,0,192,0,228,0,0,0,370,170,0,0,0,0
540,612,318,0,360,0,230,0,0,0,328,154,0,0,0,0
608,598,234,0,364,0,24,0,0,0,320,162,0,0,0,0
635,568,172,0,2,3,0,0,0,0,267,128,0,0,0,0
675,565,118,0,256,390,6,0,0,0,225,107,0,0,0,0
706,558,35,0,416,556,3,0,0,0,226,160,0,0,0,0
706,509,23,0,293,507,0,0,0,0,243,144,0,0,0,0
680,507,28,0,211,301,0,0,0,0,229,138,0,0,0,0
629,555,112,0,188,12,0,0,0,0,282,170,0,0,0,0
535,605,333,0,44,32,78,0,0,0,399,167,0,0,0,0
560,626,351,0,326,0,259,0,0,0,390,175,0,0,0,0
574,633,343,0,415,0,262,0,0,0,402,191,0,0,0,0
594,625,337,0,357,0,182,0,0,0,401,201,0,0,0,0
621,564,241,0,85,0,0,0,0,0,309,173,0,0,0,0
686,559,152,0,203,419,10,0,0,0,268,177,0,0,0,0
698,542,68,0,326,553,0,0,0,0,226,137,0,0,0,0
713,512,36,0,417,610,0,0,0,0,249,204,0,0,0,0
706,495,0,0,269,483,0,0,0,0,233,171,0,0,0,0
660,537,96,0,165,24,0,0,0,0,299,206,0,0,0,0
526,602,360,0,31,28,43,0,0,0,395,147,0,0,0,0
554,630,363,0,294,0,255,0,0,0,369,78,0,0,0,0
567,630,344,0,424,0,271,0,0,0,340,61,0,0,0,0
571,634,327,0,464,0,281,0,0,0,323,57,0,0,0,0
589,620,297,0,395,0,153,0,0,0,298,62,0,0,0,0
631,558,159,0,375,308,0,0,0,0,105,41,0,0,0,0
673,536,94,0,246,470,6,0,0,0,132,71,0,0,0,0
677,542,0,0,528,624,6,0,0,0,148,64,0,0,0,0
693,457,0,0,421,639,0,0,0,0,171,77,0,0,0,0
707,449,0,0,236,495,0,0,0,0,212,83,0,0,0,0
644,535,40,0,267,29,0,0,0,0,304,138,0,0,0,0
572,612,302,0,74,44,100,0,0,0,362,86,0,0,0,0
545,628,296,0,400,0,318,0,0,0,288,65,0,0,0,0
563,631,271,0,458,0,297,0,0,0,299,67,0,0,0,0
572,638,282,0,497,0,310,0,0,0,291,63,0,0,0,0
569,636,279,0,519,0,314,0,0,0,291,63,0,0,0,0
590,610,240,0,500,0,201,0,0,0,234,52,0,0,0,0
636,545,123,0,401,368,5,0,0,0,74,41,0,0,0,0
679,536,76,0,381,515,23,0,0,0,64,53,0,0,0,0
676,525,15,0,591,664,47,0,0,0,100,96,0,0,0,0
692,449,0,0,394,646,0,0,0,0,118,121,0,0,0,0
670,492,2,0,238,236,0,0,0,0,157,105,0,0,0,0
411,555,352,0,7,13,0,0,0,0,308,18,0,0,0,0
528,638,361,0,284,0,279,0,0,0,281,0,0,0,0,0
506,632,299,0,451,0,323,0,0,0,185,0,0,0,0,0
499,629,275,0,551,0,353,0,0,0,184,0,0,0,0,0
525,644,305,0,526,0,340,0,0,0,207,0,0,0,0,0
543,612,277,0,439,0,144,0,0,0,184,0,0,0,0,0
593,571,164,0,433,319,19,0,0,0,126,0,0,0,0,0
640,537,110,0,483,572,31,0,0,0,110,0,0,0,0,0
662,499,44,0,571,659,36,0,0,0,96,18,0,0,0,0
676,502,26,0,396,519,5,0,0,0,141,24,0,0,0,0
630,555,158,0,161,14,0,0,0,0,259,54,0,0,0,0
526,620,357,0,77,49,158,0,0,0,323,3,0,0,0,0
