Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
176,148,71,0,714,655,688,409,24,0,72,0,138,0,285,0
214,176,71,0,721,673,686,396,29,0,71,0,157,0,283,0
188,132,64,0,734,696,686,398,18,0,37,0,16,0,137,0
235,124,23,0,748,757,631,263,29,0,20,0,0,0,9,0
213,145,24,0,750,749,663,320,28,0,26,0,4,0,54,0
210,185,51,0,754,742,676,339,31,0,10,0,8,0,121,0
172,145,32,0,763,752,681,320,19,0,0,0,0,0,6,0
173,140,39,0,761,740,684,329,9,0,0,0,0,0,30,0
167,141,37,0,753,722,678,302,8,0,10,0,0,0,65,0
160,130,25,0,703,669,613,211,6,0,34,0,0,0,183,0
151,114,34,0,720,689,644,246,7,0,40,0,0,0,78,0
191,160,73,0,741,701,683,335,34,0,36,0,11,0,132,0
253,201,108,0,751,723,691,318,49,0,35,0,55,0,158,0
191,75,16,0,681,675,558,123,22,0,26,0,10,0,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,3,0,634,510,607,186,0,0,9,0,0,0,86,0
166,166,73,0,745,690,679,247,32,0,28,0,4,0,55,0
279,246,107,0,765,744,687,254,45,0,10,0,16,0,63,0
268,250,115,0,774,764,692,257,53,0,4,0,0,0,27,0
301,331,149,0,784,765,704,274,52,0,28,0,6,0,124,0
373,406,196,0,789,762,713,258,68,0,57,0,173,0,279,0
372,369,200,0,783,737,718,272,43,0,80,0,0,0,225,0
367,295,218,0,751,691,713,313,30,0,155,0,0,0,118,3
336,355,199,0,761,708,692,243,67,0,49,0,137,0,272,0
334,328,185,0,757,708,690,243,72,0,51,0,124,0,232,0
385,378,258,0,759,717,699,268,77,0,52,0,179,0,307,30
372,397,262,0,764,715,711,288,74,0,56,0,206,0,325,29
291,401,282,0,737,592,728,347,63,0,61,0,325,0,416,37
338,421,231,0,763,662,731,298,62,0,43,0,280,0,350,0
331,383,194,0,767,686,716,252,59,0,32,0,191,0,274,0
326,397,204,0,781,689,738,304,55,0,42,0,200,0,298,0
338,382,191,0,788,713,733,281,55,0,33,0,126,0,235,0
377,422,221,0,787,728,722,277,67,0,40,0,187,0,279,15
361,438,285,0,787,712,741,329,82,0,67,0,284,0,339,34
362,458,308,0,789,701,752,334,74,0,64,0,303,0,373,47
340,449,278,0,789,695,751,303,67,0,48,0,293,0,357,0
324,411,238,0,786,698,737,254,62,0,26,0,214,0,273,0
329,429,248,0,775,670,739,282,62,0,46,0,271,0,350,0
309,428,252,0,763,642,741,298,58,0,48,0,314,0,376,0
335,436,280,0,764,630,748,317,73,0,49,0,324,0,400,40
395,465,301,0,773,668,745,259,98,0,55,0,339,0,413,32
423,488,304,0,778,684,745,236,97,0,63,0,326,0,393,0
421,490,299,0,776,674,743,219,89,0,55,0,372,0,414,0
403,462,281,0,782,698,725,181,69,0,37,0,302,0,289,0
387,449,259,0,793,712,731,176,66,0,22,0,231,0,235,0
365,422,256,0,793,708,732,190,63,0,23,0,193,0,227,0
393,445,264,0,797,729,718,156,68,0,19,0,136,0,226,0
390,460,285,0,792,712,728,201,67,0,48,0,201,0,283,0
405,496,328,0,790,693,743,247,71,0,61,0,307,0,372,0
411,506,284,0,800,702,751,235,69,0,37,0,319,0,391,0
396,488,265,0,798,710,738,190,55,0,17,0,261,0,311,0
354,464,257,0,785,671,736,205,45,0,31,0,291,0,337,0
361,471,264,0,780,654,737,219,50,0,43,0,325,0,368,0
316,461,297,0,776,594,748,264,50,0,47,0,284,0,361,0
351,476,311,0,788,627,753,264,64,0,54,0,227,0,310,0
354,482,328,0,782,633,744,237,59,0,54,0,258,0,326,0
391,493,320,0,781,635,744,214,70,0,60,0,262,0,359,0
396,470,275,0,785,665,722,155,70,0,55,0,201,0,250,0
369,440,255,0,793,683,712,144,61,0,46,0,119,0,181,0
347,444,256,0,790,656,724,180,50,0,48,0,144,0,223,0
348,456,286,0,798,676,733,202,49,0,49,0,177,0,229,0
385,480,304,0,796,665,742,236,85,0,91,0,72,0,255,0
438,517,357,0,789,649,758,265,136,0,209,0,0,0,214,0
409,532,338,0,798,671,746,212,85,0,92,0,240,0,315,0
418,479,278,0,800,698,726,141,62,0,114,0,0,0,122,0
393,455,230,0,800,711,680,61,50,0,78,0,3,0,89,0
391,465,253,0,792,690,696,113,72,0,88,0,41,0,125,0
347,445,238,0,792,676,702,132,68,0,75,0,76,0,120,0
412,475,282,0,794,684,713,164,122,0,150,0,0,0,109,0
421,501,308,0,793,679,722,155,104,0,164,0,109,0,200,0
423,518,315,0,785,655,728,170,80,0,161,0,152,0,223,0
414,512,308,0,791,660,734,172,83,0,170,0,188,0,199,0
395,498,293,0,803,681,738,164,70,0,109,0,106,0,170,0
396,494,295,0,805,692,733,176,62,0,88,0,114,0,163,0
417,474,236,0,809,736,686,43,80,0,72,0,0,0,35,0
406,502,279,0,806,719,727,114,66,0,96,0,0,0,165,0
427,526,304,0,805,703,730,121,85,0,115,0,120,0,226,0
434,526,270,0,813,710,733,124,82,0,76,0,184,0,196,0
407,471,211,0,811,727,703,51,57,0,44,0,49,0,37,0
423,489,220,0,810,730,700,56,64,0,60,0,37,0,48,0
393,495,259,0,799,683,718,115,55,0,69,0,138,0,116,0
375,505,292,0,797,633,732,159,41,0,98,0,183,0,181,0
437,537,321,0,813,706,730,93,66,0,107,0,112,0,90,0
453,536,320,0,809,711,720,84,71,0,103,0,99,0,99,0
456,532,301,0,804,708,705,57,75,0,97,0,155,0,141,0
413,510,270,0,805,698,709,77,58,0,78,0,88,0,90,0
420,502,261,0,813,718,705,70,60,0,65,0,39,0,61,0
425,495,219,0,814,727,688,47,55,0,42,0,63,0,23,0
467,519,241,0,825,755,698,37,71,0,65,0,0,0,12,0
