Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,13,176,0,0,0,0,0,54,150,147,135,0,0,0
0,0,16,135,0,0,0,0,0,23,125,143,39,0,0,0
0,0,0,35,0,0,0,0,0,36,117,132,0,0,0,0
0,0,0,0,0,0,0,0,0,0,130,131,0,0,0,0
0,0,0,0,0,0,0,0,0,20,158,155,0,0,0,0
0,0,25,92,0,0,0,0,0,0,197,166,78,0,0,0
0,0,0,41,0,0,0,0,0,0,99,171,212,0,0,0
0,0,86,278,0,0,19,0,0,0,45,99,8,0,0,0
0,0,74,369,0,0,76,0,0,0,0,92,0,0,0,0
0,0,69,369,0,0,55,0,0,0,31,81,0,0,0,0
0,0,74,368,0,0,13,0,0,0,11,65,0,0,0,0
0,0,0,107,0,0,0,0,0,0,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,168,105,212,0,0,0
0,0,8,79,0,0,0,0,0,8,197,162,162,0,0,0
0,0,0,0,0,0,0,0,0,66,139,139,0,0,0,0
0,0,0,0,0,0,0,0,0,70,129,119,0,0,0,0
0,0,0,0,0,0,0,0,0,97,70,110,0,0,0,0
0,0,0,0,0,0,0,0,0,75,83,136,0,0,0,0
0,0,0,0,0,0,0,0,0,33,112,235,0,0,0,0
0,0,0,0,0,0,0,0,0,0,75,207,38,0,0,0
0,0,0,57,0,0,0,0,0,0,0,73,0,0,0,0
0,0,89,265,0,0,83,11,0,0,0,47,43,0,0,0
0,0,22,324,0,0,68,0,0,0,0,86,0,0,0,0
0,0,20,291,0,0,49,0,0,0,0,114,0,0,0,0
0,0,0,96,0,0,0,0,0,0,0,56,57,0,0,0
0,0,18,170,0,0,0,0,0,0,0,41,44,0,0,0
0,0,46,223,0,0,0,0,0,168,48,126,80,0,0,0
0,0,50,172,0,0,0,0,0,274,150,163,23,0,0,0
