Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,557,564,330,0,0,0,0,0,0,0,0,0
0,0,0,0,520,534,313,0,0,0,0,0,0,0,0,0
0,0,0,0,541,563,316,0,0,0,0,0,0,0,0,0
0,0,0,0,462,513,282,0,0,0,0,0,19,0,0,0
0,0,0,0,366,401,343,0,0,0,8,0,48,0,23,0
0,0,0,0,374,434,332,0,0,0,0,0,0,0,0,0
0,0,0,0,220,323,244,0,0,0,10,0,0,0,13,0
0,0,0,0,204,286,229,0,0,0,0,0,0,0,0,0
0,0,0,0,247,316,205,0,0,0,0,0,0,0,0,0
0,0,0,0,361,427,269,0,0,0,0,0,0,0,0,0
0,0,0,0,486,550,276,0,0,0,0,0,0,0,0,0
4,0,0,0,538,613,259,0,0,0,0,0,0,0,0,0
0,0,0,0,565,625,304,0,0,0,0,0,0,0,0,0
9,0,0,0,539,600,340,0,0,0,0,0,0,0,0,0
0,0,0,0,433,514,397,0,0,0,14,0,28,0,0,0
0,0,0,0,232,323,295,0,0,0,3,0,0,0,0,0
0,0,0,0,289,392,220,0,0,0,0,0,0,0,0,0
0,0,0,0,221,269,213,0,0,0,0,0,0,0,0,0
0,0,0,0,302,368,268,0,0,0,0,0,0,0,0,0
0,0,0,0,377,410,297,0,0,0,0,0,0,0,0,0
0,0,0,0,474,508,273,0,0,0,0,0,0,0,0,0
0,0,0,0,560,583,316,0,0,0,0,0,0,0,0,0
0,0,0,0,576,595,315,0,0,0,0,0,0,0,0,0
0,0,0,0,485,488,356,0,0,0,0,0,0,0,0,0
0,0,0,0,444,508,365,0,0,0,0,0,0,0,0,0
0,0,0,0,318,369,315,0,0,0,0,0,0,0,0,0
0,0,0,0,294,393,238,0,0,0,0,0,0,0,0,0
0,0,0,0,295,355,265,0,0,0,0,0,0,0,0,0
0,0,0,0,352,391,287,0,0,0,0,0,0,0,0,0
0,0,0,0,453,489,272,0,0,0,0,0,0,0,0,0
0,0,0,0,536,561,284,0,0,0,0,0,0,0,0,0
25,0,0,0,555,580,321,0,0,0,0,0,0,0,0,0
11,0,0,0,542,560,337,0,0,0,0,0,0,0,0,0
0,0,0,0,483,516,335,0,0,0,0,0,0,0,0,0
0,0,0,0,368,398,340,0,0,0,15,0,0,0,0,0
0,0,0,0,330,372,295,0,0,0,7,0,0,0,0,0
0,0,0,0,265,275,222,0,0,0,0,0,0,0,0,0
0,0,0,0,355,365,273,0,0,0,0,0,0,0,0,0
