Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
123,21,0,0,703,666,622,151,10,0,5,0,0,0,0,0
140,51,0,0,696,672,609,160,5,0,12,0,0,0,0,0
195,95,0,0,726,720,645,197,24,0,17,0,0,0,0,0
239,107,0,0,743,758,630,144,25,0,11,0,0,0,0,0
289,172,0,0,754,777,634,143,48,0,25,0,0,0,0,0
299,190,0,0,753,779,620,112,54,0,26,0,0,0,4,0
265,175,0,0,758,776,632,132,24,0,17,0,0,0,0,0
212,130,0,0,755,760,643,149,19,0,7,0,0,0,0,0
190,99,0,0,756,756,638,142,22,0,2,0,0,0,0,0
220,106,0,0,752,749,634,127,31,0,8,0,0,0,0,0
191,111,0,0,746,729,640,123,24,0,1,0,0,0,0,0
235,171,0,0,753,733,659,179,41,0,8,0,0,0,20,0
263,203,9,0,765,754,660,165,50,0,5,0,0,0,14,0
253,205,8,0,766,752,662,171,35,0,4,0,0,0,13,0
213,144,0,0,747,726,649,167,14,0,0,0,0,0,0,0
182,105,0,0,710,694,604,112,0,0,0,0,0,0,0,0
237,119,0,0,734,732,600,80,15,0,0,0,0,0,0,0
242,117,0,0,754,765,603,70,67,0,0,0,0,0,0,0
267,159,0,0,757,768,613,84,46,0,9,0,0,0,0,0
268,168,0,0,756,760,622,113,46,0,9,0,0,0,0,0
248,149,0,0,754,750,630,119,19,0,0,0,0,0,0,0
177,104,0,0,740,707,644,145,9,0,0,0,0,0,0,0
185,79,0,0,749,720,642,135,9,0,0,0,0,0,0,0
202,69,0,0,765,750,648,147,14,0,0,0,0,0,0,0
252,122,0,0,764,752,658,191,23,0,4,0,0,0,0,0
264,199,0,0,761,734,675,238,27,0,9,0,46,0,8,0
257,176,0,0,764,729,675,212,17,0,7,0,26,0,0,0
255,106,0,0,774,757,648,62,13,0,0,0,0,0,0,0
219,90,0,0,769,746,646,84,0,0,0,0,0,0,0,0
227,115,0,0,758,734,643,100,0,0,0,0,0,0,0,0
265,133,0,0,753,745,614,64,9,0,0,0,0,0,0,0
259,106,0,0,761,758,599,36,11,0,0,0,0,0,0,0
297,154,0,0,767,768,604,47,17,0,0,0,7,0,0,0
267,117,0,0,767,763,612,52,13,0,0,0,0,0,0,0
260,128,0,0,767,757,616,42,10,0,0,0,0,0,0,0
198,80,0,0,751,730,623,81,0,0,0,0,0,0,0,0
195,80,0,0,762,730,635,89,0,0,0,0,0,0,0,0
201,49,0,0,771,744,638,112,4,0,0,0,0,0,0,0
211,97,0,0,768,735,659,174,6,0,0,0,0,0,0,0
260,192,0,0,769,736,677,245,17,0,0,0,38,0,0,0
261,194,0,0,770,731,683,246,13,0,0,0,36,0,0,0
269,196,0,0,774,739,680,219,11,0,0,0,44,0,0,0
268,189,0,0,775,742,670,157,6,0,0,0,34,0,0,0
266,155,0,0,765,746,641,121,0,0,0,0,8,0,0,0
256,138,0,0,748,733,619,91,0,0,0,0,27,0,0,0
273,155,0,0,767,756,634,106,19,0,0,0,24,0,0,0
288,153,0,0,769,761,633,106,24,0,0,0,8,0,0,0
293,173,0,0,771,765,625,89,31,0,0,0,19,0,0,0
296,202,0,0,766,758,630,82,23,0,0,0,49,0,0,0
266,169,0,0,756,736,632,106,0,0,0,0,27,0,0,0
266,149,0,0,771,745,649,124,0,0,0,0,5,0,0,0
240,134,0,0,774,743,664,170,0,0,0,0,0,0,0,0
249,170,0,0,769,729,684,233,0,0,0,0,25,0,0,0
