Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
151,48,0,0,729,670,592,110,0,0,13,0,0,0,0,0
143,17,0,0,728,671,587,96,0,0,10,0,0,0,0,0
153,57,0,0,732,667,599,115,0,0,15,0,0,0,0,0
210,119,0,0,744,691,610,148,0,0,21,0,0,0,0,0
42,74,0,0,548,415,614,364,0,0,0,11,206,0,198,0
250,220,33,0,668,602,653,341,1,35,35,31,204,0,188,0
281,256,37,0,693,632,657,322,12,67,56,39,276,0,239,0
269,174,0,0,730,710,636,246,0,17,0,0,141,0,88,0
133,38,0,0,713,696,541,112,0,0,0,0,0,0,0,0
36,0,0,0,594,588,395,77,0,0,0,0,0,0,0,0
87,22,0,0,653,630,431,54,0,0,0,0,0,0,0,0
228,165,0,0,708,683,581,219,0,0,13,7,179,0,41,0
283,262,7,0,684,623,650,325,8,67,107,90,374,0,273,0
294,339,74,0,699,608,692,398,8,80,89,114,445,0,437,0
183,182,0,0,708,613,647,204,0,0,0,0,178,0,139,0
54,24,0,0,714,597,630,173,0,0,0,0,0,0,0,0
60,42,0,0,699,574,616,155,0,0,0,0,0,0,20,0
208,196,0,0,708,619,652,269,0,20,95,44,57,0,139,0
257,240,0,0,663,580,623,233,0,64,234,124,161,0,163,0
313,326,16,0,682,629,616,244,0,49,129,140,396,0,368,0
348,338,20,0,724,696,609,219,0,88,169,231,305,0,262,0
265,237,0,0,740,705,627,225,0,37,48,55,148,0,118,0
93,18,0,0,673,657,452,56,0,0,0,0,0,0,0,0
40,0,0,0,579,574,353,28,0,0,0,0,0,0,0,0
134,92,0,0,704,679,511,71,0,0,0,0,15,0,0,0
295,308,56,0,712,616,670,341,0,117,187,274,414,0,346,0
339,417,167,0,634,552,662,376,0,116,144,237,622,26,613,0
380,442,146,0,707,639,693,381,0,81,110,227,605,20,614,0
260,315,17,0,728,660,672,252,0,20,53,87,326,0,268,0
111,91,0,0,720,627,628,126,0,0,5,0,23,0,0,0
68,31,0,0,712,621,594,93,0,0,0,0,0,0,0,0
167,129,0,0,740,695,587,98,0,0,0,0,32,0,14,0
179,237,0,0,696,612,666,324,0,15,29,34,319,0,244,0
