Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,19,0,128,0,0,28,0,0,0,0,0
4,0,0,0,288,97,347,170,0,0,3,0,0,0,0,0
0,0,0,0,7,36,136,93,0,0,43,0,0,0,20,0
35,0,5,0,461,286,415,192,0,0,100,0,0,0,0,0
169,130,148,0,615,465,607,330,0,0,73,0,28,0,21,0
205,148,201,0,686,553,710,411,0,0,67,0,0,0,0,0
155,64,35,0,720,629,684,236,0,0,31,0,0,0,0,0
158,85,22,0,715,605,708,304,0,0,17,0,0,0,0,0
213,166,53,0,713,595,727,383,0,12,40,0,0,0,0,0
217,195,37,0,720,620,718,319,0,0,20,0,0,0,0,0
265,281,61,0,733,638,727,334,0,0,45,0,0,0,0,0
250,297,57,0,736,641,733,339,0,0,13,0,0,0,0,0
246,298,61,0,737,635,737,344,0,0,14,0,11,0,0,0
236,295,48,0,738,630,741,346,0,0,4,0,18,0,0,0
228,290,46,0,737,624,743,349,0,0,6,0,21,0,0,0
230,295,53,0,737,618,747,351,0,0,9,0,34,0,4,0
221,279,47,0,738,619,748,338,0,0,0,0,12,0,0,0
228,278,50,0,739,624,747,332,0,0,0,0,11,0,0,0
230,287,52,0,740,628,746,313,0,0,0,0,8,0,0,0
232,283,54,0,741,633,744,308,0,0,0,0,4,0,0,0
230,287,54,0,743,635,744,300,0,0,0,0,3,0,0,0
220,255,21,0,745,642,735,253,0,0,0,0,0,0,0,0
188,169,0,0,748,659,720,202,0,0,0,0,0,0,0,0
234,319,40,0,741,610,747,327,0,0,19,0,60,0,17,0
237,316,53,0,742,616,748,335,0,0,21,0,50,0,12,0
242,319,53,0,744,624,749,327,0,0,21,0,45,0,0,0
247,317,56,0,746,630,748,319,0,0,17,0,32,0,0,0
239,302,44,0,747,633,749,318,0,0,13,0,25,0,0,0
234,291,43,0,748,635,748,316,0,0,9,0,12,0,0,0
233,288,37,0,749,638,748,305,0,0,0,0,2,0,0,0
229,274,39,0,749,639,748,300,0,0,0,0,0,0,0,0
222,261,39,0,749,637,747,311,0,0,0,0,0,0,0,0
219,256,41,0,749,635,748,319,0,0,0,0,0,0,0,0
221,261,46,0,750,636,749,318,0,0,0,0,0,0,0,0
222,267,46,0,750,638,749,303,0,0,0,0,0,0,0,0
225,277,45,0,751,640,749,305,0,0,4,0,0,0,0,0
222,278,45,0,752,639,750,326,0,0,2,0,0,0,0,0
221,278,46,0,751,633,752,343,0,0,4,0,2,0,0,0
222,281,52,0,750,632,752,348,0,0,8,0,9,0,0,0
224,288,52,0,751,638,750,339,0,0,6,0,7,0,0,0
225,280,44,0,753,641,749,324,0,0,0,0,0,0,0,0
220,275,43,0,752,641,750,321,0,0,0,0,0,0,0,0
217,279,45,0,753,639,751,301,0,0,0,0,0,0,0,0
217,279,46,0,752,637,751,312,0,0,1,0,0,0,0,0
