Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
281,315,173,0,710,622,677,338,0,0,41,0,321,0,390,0
306,354,208,0,727,632,704,386,0,0,37,2,301,0,425,0
291,320,197,0,734,642,707,396,0,0,79,7,121,0,328,0
274,339,217,0,742,647,719,407,0,0,54,0,253,0,353,0
310,348,187,0,753,675,714,377,0,0,42,0,216,0,305,0
364,417,252,0,759,678,732,420,0,0,62,13,329,0,419,60
303,373,203,0,760,672,735,404,0,0,26,0,221,0,318,0
269,352,204,0,752,653,730,391,0,0,32,0,262,0,360,0
255,336,214,0,741,633,719,391,0,0,36,0,268,0,379,0
269,337,221,0,762,664,734,407,0,0,28,0,150,0,286,0
278,330,204,0,762,673,726,396,0,0,34,0,153,0,267,0
109,178,96,0,673,524,642,298,0,0,17,0,159,0,279,0
174,239,130,0,687,554,661,321,0,0,23,0,210,0,327,0
281,365,212,0,753,635,730,400,0,0,34,0,237,0,337,0
302,385,239,0,749,636,730,401,0,0,42,0,310,0,379,0
223,318,214,0,719,596,710,390,0,0,29,0,280,0,354,0
273,342,210,0,728,622,707,380,0,0,41,0,270,0,346,0
354,421,258,0,758,662,737,411,0,0,62,0,264,0,362,0
354,443,269,0,770,674,748,420,0,0,79,4,292,0,375,0
302,393,240,0,753,651,734,408,0,0,39,0,261,0,364,0
288,364,209,0,744,636,722,395,0,0,37,0,163,0,321,0
328,397,227,0,761,665,729,392,0,0,37,0,215,0,323,0
356,418,232,0,771,687,735,398,0,0,41,0,230,0,309,0
368,452,255,0,768,678,737,398,0,0,51,0,327,0,404,1
269,370,243,0,718,582,723,399,0,0,40,0,336,0,404,0
283,426,277,0,722,568,738,425,0,0,49,8,400,0,467,0
336,460,289,0,756,624,756,431,0,0,42,9,398,0,469,0
303,425,252,0,740,619,736,386,0,0,28,0,387,0,437,0
237,352,219,0,728,604,722,380,0,0,23,0,311,0,366,0
308,434,281,0,755,621,757,435,0,0,54,2,359,0,418,0
319,446,302,0,773,654,765,439,0,0,40,8,323,0,380,0
291,438,308,0,764,620,767,448,0,0,47,7,345,0,424,0
220,377,254,0,746,606,742,416,0,0,37,0,249,0,376,0
264,374,223,0,760,650,726,348,0,0,27,0,191,0,291,0
328,411,248,0,768,663,741,374,0,0,46,0,274,0,334,0
330,427,272,0,766,654,745,400,0,0,83,0,231,0,357,0
264,405,279,0,746,597,747,420,0,0,47,0,297,0,405,0
231,343,233,0,704,567,693,318,0,0,50,0,289,0,383,0
319,428,272,0,753,629,736,355,0,0,33,0,330,0,414,0
356,433,255,0,769,664,740,332,0,0,27,0,291,0,355,0
300,383,232,0,744,634,719,323,0,0,29,0,296,0,354,0
346,442,294,0,740,645,711,323,0,0,70,0,346,0,437,106
372,476,314,0,765,660,743,363,0,0,78,0,351,0,428,56
347,469,317,0,770,658,752,384,0,0,47,0,299,0,409,21
293,436,304,0,748,615,738,374,0,0,60,1,336,0,433,69
283,408,278,0,751,625,733,353,0,0,41,0,285,0,400,8
280,415,286,0,749,611,737,367,0,0,47,0,303,0,414,28
326,435,275,0,773,662,743,335,0,0,26,0,242,0,341,0
337,427,271,0,776,674,737,329,0,0,26,0,172,0,307,0
353,458,281,0,769,663,739,346,0,0,53,0,295,0,377,6
310,374,230,0,710,616,676,234,0,0,47,0,280,0,365,0
348,424,263,0,733,630,710,314,0,0,54,0,326,0,404,0
373,448,275,0,761,659,730,318,0,0,44,0,255,0,384,0
329,427,250,0,752,646,722,320,0,0,49,0,229,0,371,0
337,401,235,0,753,652,720,312,0,0,99,0,22,0,283,0
347,421,243,0,767,668,723,307,0,0,83,0,150,0,293,0
354,421,241,0,776,683,727,305,0,0,69,0,178,0,278,0
348,440,258,0,781,672,746,341,0,0,79,0,209,0,311,0
294,404,246,0,758,637,731,331,0,0,78,0,182,0,310,0
306,411,249,0,766,652,733,324,0,0,68,0,192,0,313,0
346,416,229,0,784,694,730,282,0,0,34,0,112,0,231,0
360,403,201,0,788,711,715,243,0,0,26,0,43,0,181,0
376,441,237,0,786,698,733,298,0,0,54,0,123,0,256,0
339,399,219,0,761,671,701,242,0,0,61,0,93,0,245,0
314,389,223,0,742,640,700,268,0,0,57,0,133,0,269,0
347,431,254,0,779,678,734,307,0,0,39,0,132,0,265,0
348,431,244,0,782,696,733,297,0,0,40,0,131,0,249,0
310,427,256,0,766,666,728,304,0,0,51,0,175,0,294,0
211,388,259,0,767,635,745,334,0,0,56,0,156,0,284,0
312,423,268,0,783,679,747,316,0,0,46,0,181,0,275,0
332,436,269,0,792,694,755,326,0,0,36,0,172,0,298,0
280,420,242,0,778,669,747,298,0,0,50,0,164,0,302,0
