Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
106,0,171,0,610,445,655,273,0,50,261,100,0,0,105,0
0,0,6,0,0,0,80,0,0,0,113,48,0,0,241,0
258,47,32,0,602,640,458,0,0,0,53,0,150,0,194,0
313,81,24,0,625,739,464,0,0,6,35,2,136,0,142,0
307,67,26,0,593,764,421,21,0,0,24,0,218,0,235,0
326,77,0,0,600,793,389,35,0,0,18,0,213,0,202,0
362,52,0,0,579,812,189,0,0,0,22,0,196,10,123,0
328,23,0,0,600,808,194,0,0,0,31,0,227,3,27,0
310,40,0,0,651,805,295,0,0,0,36,0,154,0,12,0
295,71,0,0,692,787,460,41,0,0,24,0,41,0,0,0
232,0,0,0,723,718,574,103,0,0,38,0,0,0,0,0
186,28,0,0,735,640,598,136,0,0,29,0,0,0,0,0
206,95,0,0,713,629,594,123,0,0,30,0,0,0,3,0
278,85,11,0,626,673,454,0,0,0,38,0,43,0,87,0
298,61,1,0,647,767,434,16,0,0,21,0,38,0,0,0
228,0,0,0,644,799,341,25,0,0,0,0,0,0,0,0
285,2,0,0,645,815,257,0,0,0,0,0,0,0,0,0
334,40,0,0,639,823,196,0,0,0,0,0,68,0,0,0
343,16,0,0,581,816,53,0,0,0,0,0,65,0,0,0
318,6,0,0,593,814,51,0,0,0,0,0,26,0,0,0
289,0,0,0,628,811,149,0,0,0,0,0,0,0,0,0
234,0,0,0,695,807,359,0,0,0,0,0,0,0,0,0
156,0,0,0,736,714,602,115,0,0,0,0,0,0,0,0
143,0,77,0,713,533,679,268,0,0,0,40,0,0,0,0
154,51,19,0,724,507,666,183,0,53,100,0,0,0,0,0
268,119,18,0,647,622,506,64,0,4,59,0,46,0,104,0
275,85,0,0,665,726,429,17,0,0,31,0,0,0,0,0
249,64,0,0,677,797,386,125,0,0,7,0,0,0,0,0
296,68,0,0,680,817,260,17,0,0,0,0,22,0,0,0
344,82,0,0,687,829,213,10,0,0,0,0,68,0,0,0
286,13,0,0,622,816,34,0,0,0,0,0,0,0,0,0
305,0,0,0,593,814,0,0,0,0,0,0,0,0,0,0
284,40,0,0,658,818,119,0,0,0,0,0,0,0,0,0
196,26,0,0,707,811,319,0,0,0,0,0,0,0,0,0
181,12,0,0,741,784,521,67,0,0,0,0,0,0,0,0
166,0,0,0,753,682,660,159,0,0,0,0,0,0,0,0
130,70,173,0,677,417,715,357,0,0,11,0,0,0,0,0
0,0,340,232,0,24,220,207,0,60,172,6,0,0,470,423
241,88,24,0,676,606,606,169,0,0,16,0,12,0,68,0
256,119,0,0,699,749,459,78,0,0,30,0,26,0,13,0
233,111,0,0,705,801,407,152,0,0,4,0,29,0,0,0
255,177,0,0,724,821,384,114,0,0,4,0,59,0,0,0
243,111,0,0,713,823,269,12,0,0,0,0,2,0,0,0
265,21,0,0,640,820,4,0,0,0,0,0,0,0,0,0
247,19,0,0,664,817,0,0,0,0,0,0,0,0,0,0
