Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,254,252,249,0,0,0,0,0,0,0,92,0
0,0,0,0,196,206,231,10,0,0,0,0,0,0,105,0
0,0,0,0,151,158,208,0,0,0,0,0,10,0,132,0
0,0,0,0,21,98,122,0,0,0,0,0,0,0,121,0
0,0,0,0,44,158,52,0,0,0,0,0,0,0,19,0
0,0,0,0,205,384,53,0,0,0,0,0,0,0,0,0
0,0,0,0,181,571,9,0,0,0,0,0,0,0,0,0
0,0,0,0,26,593,7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41,566,0,0,0,0,0,0,0,0,0,0
0,0,0,0,277,518,0,0,0,0,0,0,0,0,0,0
0,0,0,0,222,379,228,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,46,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,156,290,88,0,0,0,0,0,0,0,0,0
0,0,0,0,116,538,1,0,0,0,0,0,0,0,0,0
0,0,0,0,12,569,11,0,0,0,0,0,0,0,0,0
0,0,0,0,10,553,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12,550,0,0,0,0,0,0,0,0,0,0
0,0,0,0,112,569,0,0,0,0,0,0,0,0,0,0
0,0,0,0,275,585,0,0,0,0,0,0,0,0,0,0
0,0,0,0,333,499,97,0,0,0,0,0,0,0,0,0
0,0,0,0,140,102,94,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,143,331,107,0,0,0,0,0,0,0,0,0
0,0,0,0,239,556,4,0,0,0,0,0,0,0,0,0
0,0,0,0,116,579,5,0,0,0,0,0,0,0,0,0
0,0,0,0,67,565,0,0,0,0,0,0,0,0,0,0
0,0,0,0,226,557,0,0,0,0,0,0,0,0,0,0
0,0,0,0,379,575,37,0,0,0,0,0,0,0,0,0
0,0,0,0,290,387,187,0,0,0,0,0,0,0,0,0
0,0,0,0,134,79,146,0,0,0,0,0,0,0,0,0
0,0,0,0,5,25,0,30,0,0,0,0,0,0,0,0
0,0,0,0,0,25,0,8,0,0,0,0,0,0,0,0
0,0,0,0,5,5,105,0,0,0,0,0,0,0,0,0
0,0,0,0,183,237,161,0,0,0,0,0,0,0,0,0
0,0,0,0,263,462,9,0,0,0,0,0,0,0,0,0
0,0,0,0,207,573,0,0,0,0,0,0,0,0,0,0
0,0,0,0,166,583,0,0,0,0,0,0,0,0,0,0
0,0,0,0,177,570,0,0,0,0,0,0,0,0,0,0
0,0,0,0,422,615,38,0,0,0,0,0,0,0,0,0
0,0,0,0,439,546,224,0,0,0,0,0,0,0,0,0
0,0,0,0,292,315,229,0,0,0,0,0,0,0,0,0
0,0,0,0,51,19,115,17,0,0,0,0,0,0,0,0
0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0
0,0,0,0,109,157,108,0,0,0,0,0,0,0,0,0
0,0,0,0,226,451,6,0,0,0,0,0,0,0,0,0
0,0,0,0,277,566,6,0,0,0,0,0,0,0,0,0
0,0,0,0,359,607,55,0,0,0,0,0,0,0,0,0
0,0,0,0,330,610,0,0,0,0,0,0,0,0,0,0
0,0,0,0,361,597,0,0,0,0,0,0,0,0,0,0
0,0,0,0,397,585,73,0,0,0,0,0,0,0,0,0
0,0,0,0,336,463,98,0,0,0,0,0,0,0,0,0
0,0,0,0,183,223,100,0,0,0,0,0,0,0,0,0
0,0,0,0,34,24,49,46,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11,62,0,0,0,0,0,0,0,0,0
0,0,0,0,149,240,75,0,0,0,0,0,0,0,0,0
0,0,0,0,217,523,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26,568,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,590,8,8,0,0,0,0,0,0,0,0
0,0,0,0,24,589,0,0,0,0,0,0,0,0,0,0
0,0,0,0,220,594,0,0,0,0,0,0,0,0,0,0
0,0,0,0,292,584,0,0,0,0,0,0,0,0,0,0
0,0,0,0,276,430,136,0,0,0,0,0,0,0,0,0
0,0,0,0,116,117,81,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,28,153,56,0,0,0,0,0,0,0,0,0
0,0,0,0,201,421,63,0,0,0,0,0,0,0,0,0
0,0,0,0,134,530,1,0,0,0,0,0,0,0,0,0
0,0,0,0,58,508,0,0,0,0,0,0,0,0,0,0
0,0,0,0,195,495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,252,522,0,0,0,0,0,0,0,0,0,0
0,0,0,0,323,548,0,0,0,0,0,0,0,0,0,0
0,0,0,0,410,506,188,0,0,0,0,0,0,0,0,0
0,0,0,0,260,326,158,0,0,0,0,0,0,0,0,0
0,0,0,0,29,28,91,3,0,0,0,0,0,0,0,0
0,0,0,0,18,26,0,27,0,0,0,0,0,0,0,0
0,0,0,0,37,34,163,3,0,0,0,0,0,0,0,0
0,0,0,0,140,71,265,0,0,0,0,0,0,0,0,0
0,0,0,0,235,317,130,0,0,0,0,0,0,0,0,0
0,0,0,0,295,485,104,0,0,0,0,0,0,0,0,0
0,0,0,0,295,597,23,0,0,0,0,0,0,0,0,0
0,0,0,0,234,608,17,4,0,0,0,0,0,0,0,0
0,0,0,0,215,574,0,0,0,0,0,0,0,0,0,0
0,0,0,0,210,578,0,0,0,0,0,0,0,0,0,0
0,0,0,0,239,552,0,0,0,0,0,0,0,0,0,0
0,0,0,0,32,414,0,0,0,0,0,0,0,0,0,0
0,0,0,0,165,235,62,0,0,0,0,0,0,0,0,0
0,0,0,0,14,23,96,4,0,0,0,0,0,0,0,0
0,0,0,0,3,41,23,0,0,0,0,0,0,0,0,0
0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,302,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,531,1,0,0,0,0,0,0,0,0,0
8,0,0,0,5,579,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,572,8,9,0,0,0,0,0,0,0,0
0,0,0,0,2,565,3,3,0,0,0,0,0,0,0,0
0,0,0,0,46,578,0,0,0,0,0,0,0,0,0,0
0,0,0,0,224,581,0,0,0,0,0,0,0,0,0,0
0,0,0,0,348,502,71,0,0,0,0,0,0,0,0,0
0,0,0,0,212,148,151,0,0,0,0,0,0,0,0,0
0,0,0,0,10,39,36,33,0,0,0,0,0,0,0,0
0,0,0,0,15,43,79,7,0,0,0,0,0,0,0,0
0,0,0,0,137,76,143,0,0,0,0,0,0,0,0,0
0,0,0,0,207,351,12,0,0,0,0,0,0,0,0,0
0,0,0,0,377,490,116,0,0,0,0,0,0,0,0,0
0,0,0,0,240,553,2,0,0,0,0,0,0,0,0,0
