Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
111,0,0,0,614,628,0,153,0,12,35,0,0,0,0,0
156,0,0,0,701,713,0,233,56,17,54,0,0,0,0,0
100,0,0,0,691,683,0,313,83,13,80,0,0,0,0,0
77,0,0,0,666,653,0,274,48,9,42,0,0,0,0,0
105,0,0,0,710,692,0,261,68,8,35,0,0,0,0,0
115,0,0,0,715,694,0,288,74,13,46,0,0,0,0,0
66,0,0,0,701,673,0,306,72,9,46,0,0,0,0,0
65,0,0,0,717,685,0,312,96,3,57,0,0,0,0,0
80,0,0,0,707,671,0,277,88,1,63,0,0,0,0,0
75,0,0,0,703,680,0,277,68,0,39,0,0,0,0,0
97,0,0,0,716,711,0,286,74,0,35,0,0,0,0,0
71,0,0,0,721,704,0,318,64,0,38,0,0,0,0,0
56,0,0,0,727,693,0,330,92,0,47,15,0,0,0,0
125,0,0,0,748,735,0,325,114,0,50,17,0,0,0,0
83,0,0,0,744,724,0,291,82,0,46,0,0,0,0,0
81,0,0,0,757,740,0,263,91,0,36,0,0,0,0,0
70,0,0,0,763,744,0,260,78,0,27,0,0,0,0,0
18,0,0,0,733,721,0,251,65,0,16,0,0,0,0,0
17,0,0,0,751,738,0,283,89,0,32,0,0,0,0,0
6,0,0,0,756,714,0,295,114,0,40,0,0,0,0,0
11,0,0,0,760,707,0,255,127,0,36,0,0,0,0,0
21,0,0,0,747,721,0,249,99,0,24,0,0,0,0,0
22,0,0,0,758,742,0,266,83,0,12,0,0,0,0,0
19,0,0,0,769,743,0,277,93,0,32,0,0,0,0,0
36,0,0,0,785,754,0,297,131,0,34,6,0,0,0,0
22,0,0,0,784,752,0,269,128,0,30,0,0,0,0,0
15,0,0,0,777,743,0,242,85,0,31,0,0,0,0,0
0,0,0,0,779,741,0,227,80,0,10,0,0,0,0,0
0,0,0,0,792,754,0,212,100,0,10,0,0,0,0,0
0,0,0,0,765,714,0,194,55,0,5,0,0,0,0,0
0,0,0,0,745,718,0,222,46,0,22,0,0,0,0,0
0,0,0,0,768,706,0,251,63,0,2,0,0,0,0,0
0,0,0,0,781,692,0,204,101,0,20,0,0,0,0,0
0,0,0,0,773,717,0,163,96,0,14,0,0,0,0,0
0,0,0,0,780,737,0,204,74,0,7,0,0,0,0,0
0,0,0,0,792,730,0,266,78,0,15,0,0,0,0,0
0,0,0,0,811,743,0,227,105,0,29,0,0,0,0,0
0,0,0,0,815,748,0,225,123,0,21,5,0,0,0,0
0,0,0,0,804,692,0,231,58,0,10,0,0,0,0,0
0,0,0,0,814,703,0,182,70,0,0,0,0,0,0,0
0,0,0,0,814,708,0,136,65,0,0,0,0,0,0,0
0,0,0,0,799,696,0,146,26,0,0,0,0,0,0,0
0,0,0,0,801,741,0,199,43,0,0,0,0,0,0,0
0,0,0,0,807,689,0,214,64,0,0,0,0,0,0,0
0,0,0,0,808,648,0,142,81,0,20,0,0,0,0,0
0,0,0,0,809,699,0,131,107,0,14,0,0,0,0,0
0,0,0,0,793,713,0,93,96,10,23,0,0,0,0,0
0,0,0,0,811,729,0,170,89,0,13,0,0,0,0,0
0,0,0,0,823,698,0,204,104,0,22,0,0,0,0,0
0,0,0,0,838,751,0,127,129,0,26,6,0,0,0,0
11,0,0,0,831,758,0,99,116,0,24,0,0,0,0,0
0,0,0,0,827,742,0,79,86,0,8,0,0,0,0,0
0,0,0,0,834,748,0,60,82,0,7,0,0,0,0,0
0,0,0,0,828,731,0,58,60,0,0,0,0,0,0,0
0,0,0,0,802,713,0,82,41,0,0,0,0,0,0,0
0,0,0,0,808,719,0,121,31,0,0,0,0,0,0,0
0,0,0,0,817,709,0,80,43,0,0,0,0,0,0,0
0,0,0,0,812,682,0,64,46,0,0,0,0,0,0,0
0,0,0,0,810,730,0,29,53,0,0,0,0,0,0,0
