Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
50,0,0,0,526,500,0,133,7,0,154,0,0,0,0,0
63,0,0,0,552,530,0,137,15,0,158,0,0,0,0,0
157,0,0,0,640,632,0,147,51,0,157,20,0,0,0,0
182,0,0,0,701,674,0,264,112,0,202,84,0,0,0,0
232,0,0,0,658,601,0,263,125,13,198,122,0,0,0,0
280,0,0,0,716,679,0,313,161,18,199,145,0,0,0,0
172,0,0,0,666,593,0,256,83,0,133,95,0,0,0,0
204,0,0,0,706,673,0,264,118,0,169,98,0,0,0,0
132,0,0,0,714,673,0,281,141,0,160,76,0,0,0,0
59,0,0,0,674,508,0,261,111,0,101,75,0,0,0,0
226,0,0,0,751,685,0,267,159,0,139,103,0,0,0,0
248,0,0,0,741,678,0,207,148,0,120,88,0,0,0,0
78,0,0,0,749,587,0,270,173,0,141,114,0,0,0,0
214,0,0,0,731,577,0,280,169,0,204,156,0,0,0,0
253,0,15,0,737,568,0,295,184,0,214,173,0,0,0,0
253,0,0,0,756,627,0,233,164,0,147,120,0,0,0,0
257,0,0,0,771,680,0,205,174,0,162,72,0,0,0,0
149,0,0,0,765,624,0,161,174,0,141,89,0,0,0,0
56,0,0,0,737,528,0,211,152,0,166,83,0,0,0,0
218,0,0,0,766,653,0,148,168,0,95,37,0,0,0,0
239,0,0,0,794,705,0,150,189,0,149,41,0,0,0,0
102,0,0,0,787,634,0,152,151,0,127,28,0,0,0,0
231,0,0,0,768,634,0,120,177,0,182,91,0,0,0,0
196,0,14,0,756,545,0,202,165,0,201,155,0,0,0,0
131,0,0,0,760,566,0,114,112,0,135,84,0,0,0,0
198,0,0,0,791,676,0,98,151,0,138,29,0,0,0,0
210,0,0,0,789,688,0,98,164,0,146,9,0,0,0,0
154,0,0,0,765,641,0,69,153,0,147,0,0,0,0,0
175,0,0,0,802,703,0,56,199,0,101,0,0,0,0,0
260,0,0,0,799,747,0,19,186,0,108,0,0,0,0,0
211,0,0,0,808,733,0,51,194,0,124,0,0,0,0,0
216,0,0,0,803,720,0,44,184,0,144,14,0,0,0,0
200,0,15,0,790,613,0,199,226,3,230,217,0,0,0,0
199,0,4,0,767,623,0,69,188,4,185,186,0,0,0,0
156,0,0,0,786,663,0,58,135,0,145,67,0,0,0,0
236,0,0,0,776,710,0,5,167,0,136,28,0,0,0,0
100,0,0,0,775,657,0,12,112,0,97,0,0,0,0,0
135,0,0,0,791,668,0,3,142,0,62,8,0,0,0,0
230,0,0,0,780,710,0,0,111,0,45,28,0,0,0,0
190,0,0,0,793,718,0,5,103,0,49,14,0,0,0,0
254,0,0,0,781,724,0,0,91,0,89,28,0,0,0,0
295,0,0,0,801,748,0,1,132,0,111,57,0,0,0,0
242,0,0,0,795,731,0,0,90,0,67,21,0,0,0,0
233,0,0,0,801,758,0,0,80,0,38,0,0,0,0,0
240,0,0,0,800,751,0,0,92,0,61,0,0,0,0,0
136,0,0,0,774,680,0,0,71,0,65,0,0,0,0,0
250,0,0,0,811,761,0,0,113,0,43,0,0,0,0,0
310,0,0,0,812,800,0,0,109,0,52,0,0,0,0,0
175,0,0,0,803,752,0,0,55,0,0,0,0,0,0,0
228,0,0,0,802,744,0,0,73,0,56,0,0,0,0,0
231,0,0,0,786,719,0,0,44,0,66,0,0,0,0,0
177,0,0,0,805,736,0,0,29,0,14,0,0,0,0,0
204,0,0,0,801,758,0,0,39,0,28,0,0,0,0,0
198,0,0,0,803,768,0,0,85,0,24,0,0,0,0,0
165,0,0,0,813,747,0,0,63,0,20,0,0,0,0,0
171,0,0,0,815,777,0,0,62,0,0,0,0,0,0,0
218,0,0,0,828,797,0,0,79,0,16,0,0,0,0,0
169,0,0,0,810,773,0,0,80,0,12,0,0,0,0,0
203,0,0,0,813,766,0,0,89,0,35,0,0,0,0,0
217,0,0,0,816,767,0,0,74,0,40,0,0,0,0,0
134,0,0,0,808,759,0,0,41,0,0,0,0,0,0,0
147,0,0,0,809,770,0,0,39,0,0,0,0,0,0,0
192,0,0,0,815,775,0,0,88,0,28,0,0,0,0,0
174,0,0,0,804,757,0,0,94,0,35,0,0,0,0,0
147,0,0,0,825,776,0,0,86,0,0,0,0,0,0,0
184,0,0,0,824,795,0,0,92,0,0,0,0,0,0,0
126,0,0,0,822,772,0,0,84,0,0,0,0,0,0,0
185,0,0,0,805,766,0,0,107,0,22,0,0,0,0,0
215,0,0,0,809,773,0,0,102,0,61,0,0,0,0,0
95,0,0,0,813,748,0,0,25,0,11,0,0,0,0,0
147,0,0,0,828,775,0,0,38,0,0,0,0,0,0,0
160,0,0,0,814,777,0,0,53,0,21,0,0,0,0,0
140,0,0,0,804,775,0,0,64,0,19,0,0,0,0,0
145,0,0,0,838,785,0,0,60,0,0,0,0,0,0,0
158,0,0,0,818,800,0,0,51,0,0,0,0,0,0,0
116,0,0,0,823,762,0,0,53,0,0,0,0,0,0,0
156,0,0,0,811,776,0,0,56,0,17,0,0,0,0,0
227,0,0,0,810,794,0,0,75,0,53,0,0,0,0,0
137,0,0,0,820,782,0,0,20,0,0,0,0,0,0,0
135,0,0,0,790,767,0,0,34,0,0,0,0,0,0,0
129,0,0,0,794,756,0,0,63,0,44,0,0,0,0,0
173,5,0,0,820,785,0,0,72,0,38,0,0,0,0,0
166,0,0,0,830,786,0,0,66,0,27,0,0,0,0,0
238,13,0,0,835,803,0,0,107,0,75,5,0,0,0,0
208,9,0,0,825,801,0,0,122,0,37,0,0,0,0,0
176,19,0,0,828,761,0,0,131,0,83,48,0,0,0,0
129,13,0,0,812,752,0,0,108,0,81,72,0,0,0,0
55,0,0,0,797,728,0,0,46,0,31,10,0,0,0,0
182,6,0,0,806,767,0,0,83,0,27,0,0,0,0,0
130,0,0,0,781,784,0,0,100,0,0,0,0,0,0,0
119,1,0,0,790,763,0,0,58,0,0,0,0,0,0,0
131,1,0,0,810,780,0,0,44,0,0,0,0,0,0,0
72,7,0,0,812,757,0,0,49,0,0,0,0,0,0,0
146,4,0,0,798,755,0,0,57,0,10,0,0,0,0,0
274,21,0,0,807,798,0,0,97,0,59,2,0,0,0,0
211,11,0,0,789,804,0,0,64,0,56,0,0,0,0,0
210,8,0,0,814,801,0,0,30,0,0,0,0,0,0,0
199,14,0,0,795,810,0,0,60,0,31,0,0,0,0,0
59,7,0,0,776,753,0,0,39,0,34,0,0,0,0,0
154,25,0,0,823,790,0,0,49,0,16,0,0,0,0,0
210,22,0,0,804,820,0,0,64,0,41,0,0,0,0,0
186,52,0,0,810,811,0,0,76,0,56,0,0,0,0,0
278,65,0,0,811,808,0,0,88,0,93,31,0,0,0,0
201,62,0,0,808,824,0,0,66,0,93,6,0,0,0,0
18,27,0,0,802,788,0,0,26,0,10,0,0,0,0,0
89,44,0,0,798,774,0,0,42,0,52,0,0,0,0,0
259,67,0,0,779,834,0,0,117,0,95,0,0,0,0,0
115,80,0,0,806,798,0,0,55,0,49,0,0,0,0,0
162,79,0,0,817,815,0,0,51,0,23,0,0,0,0,0
163,110,0,0,815,833,0,0,79,0,87,0,0,0,0,0
153,103,0,0,811,827,0,0,110,0,40,0,0,0,0,0
274,162,28,0,818,816,0,0,143,0,128,50,0,0,0,0
40,100,0,0,784,796,0,0,64,0,62,0,0,0,0,0
87,86,0,0,788,803,0,0,45,0,22,0,0,0,0,0
129,85,0,0,791,808,0,0,57,0,15,0,0,0,0,0
207,120,0,0,750,790,0,0,83,0,110,0,0,0,0,0
154,130,0,0,772,796,0,0,81,0,99,0,0,0,0,0
188,150,0,0,802,826,0,0,66,0,77,0,0,0,0,0
206,132,0,0,794,811,0,0,52,0,103,2,0,0,0,0
309,172,0,0,800,836,0,0,103,0,124,17,0,0,0,0
222,168,0,0,783,828,0,0,118,0,94,0,0,0,0,0
332,222,5,0,793,822,0,0,107,0,147,51,0,0,0,0
147,158,0,0,774,830,0,0,82,0,72,14,0,0,0,0
6,72,0,0,771,765,0,0,3,0,18,0,0,0,0,0
32,86,0,0,769,799,0,0,15,0,24,0,0,0,0,0
97,106,0,0,773,815,0,0,42,0,32,0,0,0,0,0
136,144,0,0,739,801,0,0,80,0,22,0,0,0,0,0
210,146,0,0,760,821,0,0,25,0,79,12,0,0,0,0
222,172,0,0,776,828,0,0,34,0,82,33,0,0,0,0
291,158,7,0,790,831,0,0,51,0,59,45,0,0,0,0
215,128,24,0,785,772,0,0,43,0,86,120,0,0,0,0
224,122,21,0,784,776,0,0,30,0,98,81,0,0,0,0
282,154,3,0,787,818,0,0,80,0,87,39,0,0,0,0
313,144,0,0,772,818,0,0,78,0,97,51,0,0,0,0
275,129,0,0,781,844,0,0,90,0,51,14,0,0,0,0
110,86,0,0,763,817,0,0,9,0,34,0,0,0,0,0
98,76,0,0,762,812,0,0,0,0,50,0,0,0,0,0
166,99,0,0,751,828,0,0,5,0,45,0,0,0,0,0
82,56,0,0,741,802,0,0,0,0,23,0,0,0,0,0
127,76,0,0,766,807,0,0,12,0,77,32,0,0,0,0
160,110,17,0,765,787,0,0,5,0,52,9,0,0,0,0
84,112,0,0,768,806,0,0,17,0,49,7,0,0,0,0
219,129,0,0,778,843,0,0,26,0,9,0,0,0,0,0
222,112,0,0,770,839,0,0,21,0,25,0,0,0,0,0
200,131,0,0,780,839,0,0,14,0,32,0,0,0,0,0
214,128,0,0,768,847,0,0,21,0,47,0,0,0,0,0
301,178,0,0,760,844,0,0,45,2,97,16,0,0,0,0
154,159,0,0,746,847,0,0,47,0,78,10,0,0,0,0
20,126,0,0,729,816,0,0,34,0,47,0,0,0,0,0
50,97,0,0,728,792,0,0,22,0,50,0,0,0,0,0
