Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,99,0,112,0,0,0,501,512,223,0,0,0,0
74,0,0,135,0,48,0,0,0,495,517,229,0,0,0,0
171,0,0,163,0,10,0,0,0,476,482,261,0,0,0,0
145,0,0,164,0,0,0,0,0,442,507,270,0,0,0,0
148,0,0,183,0,0,0,0,0,267,520,296,0,0,0,0
102,0,51,143,0,146,0,0,0,41,544,333,0,0,0,0
36,0,148,176,36,235,0,0,0,27,628,281,0,0,0,0
0,0,179,205,0,79,0,0,0,3,609,291,0,0,0,0
8,0,0,117,0,96,0,0,0,30,543,214,0,0,0,0
79,0,0,79,13,194,0,0,0,217,556,368,0,85,0,0
81,0,0,93,56,181,0,0,0,283,559,391,0,14,0,0
0,0,0,68,26,116,0,0,0,302,524,375,0,0,0,0
0,0,0,85,24,118,0,0,0,292,503,384,0,0,0,0
0,0,0,124,25,117,0,0,0,295,544,378,0,0,0,0
51,0,13,138,36,105,0,0,0,307,584,341,0,0,0,0
50,0,80,146,0,2,0,0,0,259,592,226,0,3,0,0
0,0,162,173,0,7,0,0,0,198,573,195,0,0,0,0
0,0,306,197,13,236,0,0,0,224,589,96,0,0,0,0
0,0,358,223,74,150,0,0,0,199,618,121,0,0,0,0
0,0,269,218,0,0,0,0,0,95,570,232,0,0,0,0
0,0,0,47,0,0,0,0,0,274,516,0,34,15,0,0
0,0,11,45,60,214,0,0,0,366,496,210,0,0,0,0
0,0,0,38,28,165,0,0,0,376,452,210,0,0,0,0
0,0,0,34,28,141,0,0,0,364,424,233,0,0,0,0
0,0,0,0,47,108,0,0,0,358,409,242,0,0,0,0
0,0,0,0,37,115,0,0,0,352,408,264,0,0,0,0
0,0,0,43,51,135,0,0,0,348,428,252,0,0,0,0
6,0,169,95,13,93,0,0,0,353,498,253,0,50,0,0
0,0,267,182,0,18,0,0,0,346,538,257,0,0,0,0
0,0,346,229,0,67,0,0,0,311,571,325,0,0,0,0
0,0,306,262,136,216,0,0,0,269,596,365,0,0,0,0
0,0,235,282,30,28,0,0,0,145,557,414,0,0,0,0
0,0,21,81,0,81,0,0,0,156,486,319,0,0,0,0
1,0,0,4,0,198,0,0,0,363,436,361,0,178,0,0
0,0,0,40,25,152,0,0,0,416,421,369,0,128,0,0
0,0,0,56,44,128,0,0,0,428,407,387,0,21,0,0
0,0,0,37,51,135,0,0,0,408,405,380,0,20,0,0
0,0,0,20,28,116,0,0,0,425,417,368,0,58,0,0
0,0,101,79,29,121,0,0,0,448,433,328,0,94,0,0
0,0,132,74,0,17,0,0,0,420,475,331,0,218,0,0
0,0,301,164,0,26,0,0,0,423,527,277,0,0,0,0
0,0,368,202,0,158,0,0,0,370,560,93,0,0,0,0
0,0,265,239,110,154,0,0,0,328,575,107,0,0,0,0
0,0,197,217,19,29,0,0,0,288,577,100,0,0,0,0
0,0,19,100,10,133,0,0,0,163,178,148,0,0,0,0
29,0,34,146,100,198,0,0,0,225,137,30,0,136,0,0
0,0,0,72,58,152,0,0,0,300,0,0,0,0,0,0
0,0,0,51,69,58,0,0,0,334,0,0,21,0,0,0
0,0,0,0,65,57,0,0,0,290,0,208,0,0,0,0
0,0,0,31,69,123,0,0,0,97,0,219,0,0,0,0
0,0,0,83,71,158,0,0,0,347,0,216,0,0,0,0
0,0,20,98,75,99,0,0,0,446,0,221,0,0,0,0
0,0,131,161,70,115,0,0,0,471,280,252,0,0,0,0
0,0,122,152,89,195,0,0,0,457,386,282,0,0,0,0
0,0,0,0,100,72,141,0,0,482,437,326,0,0,0,0
0,0,0,21,48,11,128,0,0,448,416,298,0,0,0,0
0,0,0,64,0,0,47,0,0,189,381,266,0,0,0,0
0,0,9,150,28,24,0,0,0,110,0,345,0,0,0,0
0,0,0,88,57,62,0,0,0,333,0,363,0,0,0,0
0,0,0,56,39,64,0,0,0,330,6,311,0,0,0,0
0,0,0,43,27,20,0,0,0,316,0,280,0,0,0,0
0,0,0,48,34,50,0,0,0,336,0,287,0,0,0,0
0,0,4,66,19,66,0,0,0,380,29,315,0,0,0,0
0,0,14,57,0,0,0,0,0,413,60,296,105,156,0,0
9,0,137,98,0,0,0,0,0,314,182,131,0,0,0,0
0,0,200,138,0,0,0,0,0,259,177,155,0,0,0,0
0,0,302,184,0,60,0,18,0,365,326,221,0,0,0,0
0,0,189,167,0,0,0,0,0,302,284,240,0,0,0,0
0,0,0,5,0,65,0,0,0,210,171,122,52,84,0,0
21,0,3,54,77,203,0,0,0,455,192,274,2,36,0,0
0,0,5,49,70,100,0,0,0,472,153,317,0,5,0,0
0,0,0,49,79,95,0,0,0,443,100,324,0,0,0,0
0,0,0,36,76,74,0,0,0,427,102,326,0,0,0,0
0,0,5,50,50,64,0,0,0,454,95,313,0,21,0,0
50,0,48,65,4,92,0,0,0,507,184,327,7,130,0,0
26,0,118,118,83,172,0,0,0,498,273,303,0,0,0,0
0,0,84,105,33,147,0,0,0,462,237,248,0,0,0,0
0,0,0,0,103,62,83,0,0,451,208,255,0,0,0,0
0,0,0,11,18,24,195,0,0,243,219,313,0,0,0,0
0,0,0,17,0,0,121,0,0,113,245,343,0,0,0,0
0,0,0,57,0,11,0,0,0,47,0,313,0,0,0,0
0,0,0,41,0,78,0,0,0,39,25,354,0,0,0,0
0,0,0,0,0,61,0,0,0,140,15,335,0,0,0,0
0,0,0,8,14,30,0,0,0,63,0,314,0,0,0,0
0,0,0,43,6,14,0,0,0,0,0,262,0,0,0,0
0,0,0,47,0,0,0,0,0,68,0,230,0,0,0,0
0,0,2,78,0,15,0,0,0,117,0,291,0,0,0,0
15,0,0,61,0,0,0,0,0,245,14,297,0,183,0,0
62,0,106,122,0,0,0,0,0,184,67,242,0,0,0,0
39,0,215,185,0,0,0,0,0,149,148,152,0,0,0,0
0,0,297,200,0,19,0,19,0,0,348,286,0,0,0,0
0,0,182,177,0,0,0,0,0,0,391,262,0,0,0,0
0,0,14,58,0,0,0,0,0,0,362,210,0,0,0,0
0,0,4,45,0,163,0,0,0,0,287,253,0,0,0,0
0,0,0,40,0,98,0,0,0,163,175,265,0,0,0,0
