Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,489,504,0,570,138,651,349,0,32,17,0,0,0,0,0
452,531,525,0,646,206,676,334,0,45,60,0,0,0,53,0
475,544,470,0,664,322,664,291,0,63,83,0,0,0,66,0
481,556,483,0,669,338,662,283,0,61,99,0,0,0,48,0
490,569,489,0,681,357,663,268,0,69,109,0,0,0,43,0
508,591,493,0,694,393,664,256,0,61,111,0,0,0,95,0
512,595,514,0,707,413,659,221,0,23,61,0,0,0,0,0
519,607,540,0,708,403,671,247,4,2,78,0,0,0,0,0
544,618,524,0,708,470,657,189,5,19,85,0,0,0,104,0
552,616,514,0,703,421,633,219,0,80,108,0,0,0,84,0
538,613,511,0,715,415,638,223,0,72,106,0,0,0,0,0
537,614,503,0,714,385,633,210,0,66,112,0,0,0,23,0
537,616,460,0,719,400,630,169,0,51,112,0,0,0,18,0
544,624,479,0,715,355,630,184,0,42,120,0,0,0,59,0
554,628,476,0,717,389,623,165,0,63,116,0,0,0,67,0
554,632,483,0,713,362,627,187,0,65,111,0,0,0,92,0
557,638,470,0,714,333,636,179,0,81,105,0,0,0,114,0
553,635,458,0,715,344,632,164,0,79,108,0,0,0,98,0
549,636,460,0,708,261,638,173,0,87,110,0,0,0,104,0
553,641,473,0,712,309,634,148,0,91,112,0,0,0,118,0
553,642,472,0,715,327,627,145,0,71,109,0,0,0,126,0
533,641,485,0,716,291,639,158,0,58,110,0,0,0,151,0
535,643,489,0,718,306,640,147,0,73,112,0,0,0,121,0
529,644,488,0,718,300,641,158,0,63,108,0,0,0,147,0
511,644,498,0,723,256,650,168,0,26,114,0,0,0,165,0
519,648,496,0,722,303,645,145,0,17,116,0,0,0,127,0
525,652,488,0,719,257,641,143,0,15,130,0,0,0,166,0
530,655,494,0,717,277,637,148,0,1,116,0,0,0,154,0
532,656,496,0,719,288,633,145,0,0,120,0,0,0,147,0
544,656,498,0,725,334,615,132,0,0,101,0,0,0,86,0
550,658,502,0,723,344,597,126,0,0,115,0,0,0,123,0
553,658,494,0,725,353,603,128,0,0,114,0,0,0,128,0
553,658,495,0,723,336,604,128,0,0,129,0,0,0,123,0
556,657,486,0,727,360,599,118,0,0,125,0,0,0,101,0
555,658,494,0,725,352,599,127,0,0,123,0,0,0,100,0
555,656,489,0,725,366,585,95,0,0,114,0,0,0,64,0
558,656,489,0,724,368,580,102,0,0,111,0,0,0,53,0
562,655,500,0,725,385,576,108,0,0,110,0,0,0,30,0
563,656,505,0,719,374,567,103,0,0,111,0,0,0,58,0
565,659,509,0,722,373,570,109,0,0,112,0,0,0,65,0
566,658,519,0,716,381,565,117,0,0,111,0,0,0,36,0
566,660,519,0,724,389,571,86,0,0,102,0,0,0,21,0
561,657,529,0,722,362,574,103,0,0,109,0,0,0,39,0
