Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
522,555,411,0,738,472,773,423,0,124,218,10,0,0,175,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,266,339,0,238,26,639,407,0,171,123,0,0,0,281,0
514,569,492,0,713,356,784,523,0,230,195,18,91,0,336,0
601,602,447,0,760,633,779,461,0,200,183,14,4,0,192,0
557,558,413,0,713,614,754,474,0,134,158,19,0,0,97,0
567,532,361,0,659,674,705,431,0,104,136,25,0,0,38,0
622,563,297,0,690,749,662,282,0,114,107,37,0,0,12,0
653,616,352,0,717,765,703,413,0,157,108,94,0,0,128,0
656,636,398,0,715,743,728,458,0,167,125,116,27,0,259,0
658,641,401,0,719,744,737,484,0,188,132,133,35,0,273,0
671,620,249,0,725,777,683,224,0,193,103,104,11,0,37,0
675,586,199,0,727,781,669,147,0,185,106,68,0,0,0,0
654,551,196,0,741,754,707,242,0,139,106,18,0,0,0,0
461,470,358,0,678,283,761,447,0,114,137,33,0,0,160,0
401,493,446,0,661,185,781,515,0,115,174,80,13,0,251,0
450,497,418,0,665,245,759,479,0,111,179,64,0,0,178,0
550,518,335,0,667,657,709,373,0,107,134,57,0,0,0,0
613,571,326,0,723,750,720,397,0,114,93,85,0,0,0,0
656,620,363,0,747,771,744,453,0,145,107,154,0,0,0,0
671,618,299,0,736,775,721,322,0,168,110,157,0,0,31,0
668,595,250,0,733,769,708,266,0,153,106,112,0,0,0,0
629,560,258,0,736,708,733,326,0,145,109,49,0,0,0,0
464,498,402,0,673,259,771,481,0,121,151,74,6,0,207,0
336,458,473,0,628,140,787,532,0,86,181,96,115,0,307,0
392,502,464,0,671,130,783,500,0,89,181,80,109,0,307,0
389,435,345,0,616,248,721,396,0,60,136,26,0,0,124,0
595,559,322,0,700,720,716,377,0,97,111,85,0,0,0,0
639,610,382,0,735,748,754,479,0,134,112,158,0,0,0,0
