Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
109,72,51,0,153,350,317,0,0,0,0,0,0,0,0,0
155,90,34,0,391,507,337,0,0,0,0,0,0,0,0,0
181,77,38,0,444,561,376,0,0,0,0,0,0,0,0,0
219,60,65,0,523,609,487,0,0,53,0,0,0,0,0,0
209,74,53,0,532,586,496,0,0,18,0,0,0,0,0,0
136,1,0,0,381,435,386,0,0,0,0,0,0,0,0,0
132,0,8,0,54,34,358,139,0,25,0,0,0,0,0,0
37,0,56,0,68,41,277,250,0,40,0,0,0,0,0,0
44,0,19,0,0,4,180,44,0,137,0,0,0,0,0,0
72,0,12,0,0,171,203,0,0,29,0,0,0,0,0,0
229,101,52,0,345,519,373,7,0,24,0,0,0,0,0,0
254,118,81,0,456,573,500,12,0,32,0,0,0,0,0,0
258,90,87,0,449,566,527,102,0,21,0,0,0,0,0,0
169,0,12,0,118,342,481,297,0,0,0,0,0,0,0,0
95,0,0,0,82,114,381,167,0,0,0,0,0,0,0,0
74,0,0,0,52,43,311,289,0,0,0,0,0,0,0,0
62,0,0,0,16,35,231,178,0,0,0,0,0,0,0,0
95,0,0,0,101,227,270,0,0,0,0,0,0,0,0,0
180,8,0,0,383,544,224,0,0,0,0,0,0,0,0,0
241,56,0,0,502,645,344,0,0,0,0,0,0,0,0,0
231,46,0,0,539,663,387,0,0,0,0,0,0,0,0,0
288,66,5,0,492,583,412,0,0,0,0,0,0,0,0,0
218,0,23,0,94,229,329,0,0,33,0,0,0,0,0,0
137,0,0,0,54,84,327,226,0,11,0,0,0,0,0,0
75,0,0,0,22,95,45,177,0,8,0,0,0,0,0,0
104,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
154,0,0,0,310,459,297,0,0,0,0,0,0,0,0,0
221,90,35,0,518,616,435,0,0,0,0,0,0,0,0,0
214,79,25,0,550,638,444,0,0,0,0,0,0,0,0,0
227,92,19,0,551,633,444,0,0,0,0,0,0,0,0,0
204,14,0,0,424,510,389,0,0,0,0,0,0,0,0,0
197,0,0,0,204,266,295,8,0,0,0,0,0,0,0,0
98,0,0,0,68,103,218,223,0,0,0,0,0,0,0,0
