Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
404,507,376,0,686,528,713,296,5,84,118,21,0,0,187,0
398,506,381,0,682,496,717,311,3,81,114,22,0,0,201,0
397,504,381,0,684,502,716,308,2,79,111,20,0,0,186,0
406,467,318,0,670,605,660,236,0,76,77,1,0,0,137,0
437,508,346,0,713,660,705,259,12,99,96,16,0,0,70,0
410,504,377,0,680,638,694,325,0,78,94,31,0,0,56,0
374,484,380,0,624,525,692,396,0,61,97,40,0,0,17,0
335,448,357,0,600,471,691,368,0,56,97,32,0,0,0,0
341,461,387,0,585,486,709,429,0,62,116,84,0,0,5,0
377,489,375,0,652,550,718,379,5,79,118,56,0,0,18,0
397,476,358,0,679,495,720,302,15,96,110,28,0,0,83,0
382,452,338,0,669,489,706,308,0,74,90,8,0,0,106,0
307,366,312,0,546,273,650,332,0,58,84,7,0,0,150,0
375,423,281,0,645,580,658,308,0,27,68,4,0,0,10,0
451,519,366,0,730,704,731,407,10,56,71,29,0,0,0,0
511,540,313,0,770,779,730,345,42,69,74,28,0,0,0,0
573,547,271,0,796,824,709,243,62,79,71,32,0,0,0,0
581,567,287,0,771,774,705,295,62,77,88,30,0,0,0,0
520,560,361,0,719,620,721,371,28,83,99,29,0,0,0,0
454,498,352,0,717,557,722,334,28,91,96,8,0,0,0,0
446,491,345,0,729,611,721,317,24,73,99,4,0,0,0,0
443,486,311,0,703,650,683,269,10,45,81,11,0,0,0,0
459,526,365,0,682,618,698,350,4,56,101,39,0,0,0,0
419,442,272,0,664,619,640,178,17,84,78,24,0,0,0,0
401,454,314,0,616,587,636,273,14,68,91,40,0,0,0,0
452,480,283,0,686,648,650,216,31,84,106,28,0,0,0,0
455,459,319,0,734,625,698,273,34,80,92,10,0,0,0,0
430,492,378,0,728,511,715,342,28,78,105,19,0,0,0,0
369,467,398,0,610,285,692,384,1,65,100,30,0,0,98,0
385,484,387,0,672,517,703,357,2,38,74,20,0,0,0,0
430,526,427,0,741,649,763,435,20,38,74,40,0,0,0,0
514,546,361,0,800,780,759,322,38,55,68,27,0,0,0,0
541,550,359,0,789,783,745,343,33,72,77,33,0,0,0,0
492,574,424,0,723,603,749,429,15,68,100,46,0,0,53,0
457,567,467,0,673,437,748,461,18,73,123,58,27,0,166,0
444,546,443,0,674,456,735,415,25,121,114,44,0,0,98,0
476,561,427,0,720,611,738,362,30,110,101,47,0,0,0,0
488,554,390,0,726,689,712,295,19,70,74,35,0,0,0,0
455,515,348,0,660,647,631,232,11,97,92,31,0,0,0,0
419,517,382,0,606,519,662,326,12,88,98,50,0,0,0,0
423,517,382,0,600,561,641,305,6,85,94,55,0,0,0,0
449,522,357,0,682,610,671,287,19,103,103,40,0,0,0,0
434,531,427,0,718,451,727,375,26,115,110,51,0,0,18,0
420,541,468,0,706,392,738,409,5,91,111,51,2,0,109,0
412,526,440,0,658,408,710,395,0,81,95,32,0,0,99,0
399,500,396,0,673,503,700,386,0,68,76,23,0,0,0,0
468,547,398,0,769,702,747,383,3,42,58,31,0,0,0,0
522,565,400,0,809,771,765,394,32,81,76,32,0,0,0,0
558,601,449,0,779,741,763,454,31,82,105,53,24,0,62,0
495,597,486,1,683,492,756,478,24,96,116,74,138,0,263,0
465,565,460,0,692,495,731,431,9,90,119,50,28,0,135,0
