Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
532,647,549,0,0,7,0,0,0,0,0,0,0,0,0,0
532,644,543,0,0,5,0,0,0,0,0,0,0,0,0,0
553,658,551,0,0,14,8,0,0,0,0,0,0,0,0,0
553,664,559,0,0,10,109,36,0,0,0,0,0,0,0,0
559,670,566,0,0,7,159,65,0,0,0,0,0,0,0,0
564,670,566,0,0,10,154,44,0,0,0,0,0,0,0,0
562,672,558,0,0,0,132,8,0,0,0,0,0,0,0,0
564,664,533,0,0,0,56,0,0,0,0,0,0,0,0,0
550,639,495,0,0,0,11,0,0,0,0,0,0,0,0,0
535,615,474,0,0,0,37,0,0,0,0,0,0,0,0,0
549,638,479,0,0,0,44,0,0,0,0,0,0,0,27,0
557,648,497,0,0,0,1,0,0,0,0,0,0,0,55,0
495,623,488,0,0,0,0,0,0,0,0,0,0,0,0,0
182,457,522,0,0,0,0,139,0,0,0,0,0,0,0,0
502,639,526,0,0,0,259,76,0,0,0,0,0,0,0,0
518,647,510,0,0,0,198,0,0,0,0,0,0,0,10,0
537,643,462,0,0,0,152,0,0,0,0,0,0,0,67,0
551,650,445,0,0,0,33,0,0,0,0,0,0,0,37,0
561,645,456,0,0,0,15,0,0,0,0,0,0,0,69,0
458,600,466,0,0,0,0,0,0,0,0,0,0,0,0,0
251,505,498,0,0,0,0,113,0,0,0,0,0,0,0,0
498,643,484,0,0,0,362,115,0,0,0,0,0,0,0,0
519,645,475,0,0,0,173,0,0,0,0,0,0,0,0,0
544,649,435,0,0,0,150,0,0,0,0,0,0,0,57,0
551,653,417,0,0,0,20,0,0,0,0,0,0,0,0,0
505,632,446,0,0,0,0,0,0,0,0,0,0,0,0,0
523,631,466,0,0,0,0,0,0,0,0,0,0,0,0,0
262,492,491,0,0,0,0,8,0,0,0,0,0,0,0,0
508,652,501,0,0,0,409,127,0,0,0,0,0,0,0,0
527,653,450,0,0,39,400,0,0,0,0,0,0,0,71,0
568,656,380,0,0,218,207,0,0,0,0,0,0,0,89,0
556,663,392,0,0,0,88,0,0,0,0,0,0,0,34,0
485,626,433,0,0,0,131,0,0,0,0,0,0,0,4,0
488,618,433,0,0,0,0,0,0,0,0,0,0,0,0,0
290,560,497,0,0,0,0,142,0,0,0,0,0,0,0,0
508,666,488,0,0,0,498,189,0,0,0,0,0,0,0,0
499,648,438,0,0,0,373,0,0,0,0,0,0,0,0,0
549,651,411,0,0,121,155,0,0,0,0,0,0,0,53,0
518,652,402,0,0,0,165,0,0,0,0,0,0,0,0,0
522,644,431,0,0,0,232,0,0,0,0,0,0,0,21,0
