Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,14,0,336,0,0,24,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,206,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,88,223,0,0,0,0,0,0,0,0,0,0
133,146,0,0,352,445,0,0,0,0,0,0,0,0,0,0
117,174,3,0,444,464,0,0,0,0,0,0,0,0,0,0
112,194,35,0,499,482,0,98,0,0,0,0,0,0,0,0
112,177,51,0,462,490,0,32,0,0,16,0,0,0,0,0
28,35,0,0,330,332,0,0,0,0,4,0,0,0,0,0
0,0,0,0,347,176,0,0,0,0,4,0,0,0,0,0
0,0,4,0,0,0,0,112,0,0,66,0,0,0,0,0
0,0,4,0,223,0,0,17,0,0,37,0,0,0,0,0
0,0,0,0,0,103,0,0,0,0,6,0,0,0,0,0
95,117,0,0,65,335,0,0,0,0,0,0,0,0,0,0
220,192,2,0,347,480,0,0,0,0,4,0,0,0,0,0
205,219,26,0,482,521,0,16,0,0,1,0,0,0,0,0
166,204,46,0,478,533,0,26,0,0,5,0,0,0,0,0
46,83,8,0,362,399,0,0,0,0,13,0,0,0,0,0
0,0,0,0,234,122,0,0,0,0,14,0,0,0,0,0
0,0,0,0,39,0,0,26,0,0,43,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
9,30,4,0,39,237,0,0,0,0,38,0,0,0,0,0
211,144,1,0,211,455,0,0,0,0,19,0,0,0,12,0
228,192,10,0,343,488,0,0,0,0,8,0,0,0,15,0
244,218,28,0,430,527,0,0,0,0,8,0,0,0,3,0
157,144,13,0,411,517,0,0,0,0,0,0,0,0,0,0
43,10,0,0,252,268,0,0,0,0,3,0,0,0,0,0
0,0,0,0,332,119,0,3,0,0,13,0,0,0,0,0
0,0,0,0,5,0,0,102,0,0,49,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
0,0,0,0,70,185,0,0,0,0,0,0,0,0,0,0
118,111,0,0,185,390,0,0,0,0,6,0,0,0,0,0
259,198,10,0,383,517,0,0,0,0,6,0,0,0,8,0
252,197,16,0,450,547,0,0,0,0,0,0,0,0,0,0
221,163,13,0,383,545,0,0,0,0,0,0,0,0,0,0
58,31,0,0,269,381,0,0,0,0,0,0,0,0,0,0
10,0,0,0,311,187,0,0,0,0,19,0,0,0,0,0
0,0,0,0,56,0,0,64,0,0,51,0,0,0,0,0
0,0,0,0,0,0,0,24,0,0,54,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
46,73,0,0,175,356,0,0,0,0,0,0,0,0,0,0
256,190,0,0,127,472,0,0,0,0,21,0,0,0,55,0
276,204,6,0,349,533,0,0,0,0,0,0,0,0,20,0
299,224,13,0,399,567,0,0,0,0,0,0,0,0,22,0
88,102,10,0,340,486,0,0,0,0,10,0,0,0,0,0
44,11,0,0,299,312,0,0,0,0,19,0,0,0,0,0
0,0,0,0,255,52,0,14,0,0,49,0,0,0,0,0
0,0,0,0,0,0,0,92,0,0,64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
0,0,0,0,0,120,0,0,0,0,13,0,0,0,0,0
92,109,0,0,293,415,0,0,0,0,0,0,0,0,0,0
301,164,0,0,312,527,0,0,0,0,42,0,0,0,0,0
233,156,0,0,477,585,0,0,0,0,4,0,0,0,0,0
253,174,0,0,459,598,0,0,0,0,0,0,0,0,0,0
77,67,0,0,378,475,0,0,0,0,0,0,0,0,0,0
15,0,0,0,367,283,0,0,0,0,19,0,0,0,0,0
0,0,0,0,3,0,0,89,0,0,68,0,0,0,0,0
0,0,0,0,0,0,0,67,0,0,67,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
8,38,0,0,196,321,0,0,0,0,9,0,0,0,0,0
179,159,0,0,343,493,0,0,0,0,3,0,0,0,0,0
244,201,0,0,455,561,0,0,0,0,0,0,0,0,0,0
246,202,12,0,485,587,0,0,0,0,0,0,0,0,0,0
77,111,13,0,373,519,0,0,0,0,11,0,0,0,0,0
34,11,0,0,279,338,0,0,0,0,12,0,0,0,0,0
6,0,0,0,324,219,0,0,0,0,6,0,0,0,0,0
