Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
353,449,0,182,0,0,0,0,0,0,0,0,0,0,0,0
603,681,241,223,0,0,12,0,0,0,0,0,0,0,0,0
632,692,207,222,0,0,0,0,0,0,0,0,0,0,0,0
622,679,184,233,0,0,0,0,0,0,0,0,0,0,0,0
629,677,157,245,0,0,0,0,0,0,0,0,0,0,0,0
647,685,126,244,0,0,0,0,0,0,0,0,0,0,0,0
627,648,27,199,0,0,0,0,0,0,0,0,0,0,0,0
638,680,78,178,0,0,0,0,0,0,0,0,0,0,0,0
657,687,56,189,0,0,0,0,0,0,0,0,0,0,0,0
646,664,11,194,0,0,0,0,0,0,0,0,0,0,0,0
644,669,0,142,0,0,0,0,0,0,0,0,0,0,0,0
621,664,39,232,0,0,0,0,0,0,0,0,0,0,0,0
642,691,58,169,0,0,0,0,0,0,0,0,0,0,0,0
659,693,0,54,0,0,0,0,0,0,0,0,0,0,0,0
654,690,24,136,0,48,0,0,0,0,0,0,0,0,0,0
666,687,0,141,0,119,0,0,0,0,0,0,0,0,0,0
668,681,0,149,0,0,0,0,0,0,0,0,0,0,0,0
648,670,0,130,0,0,0,0,0,0,0,0,0,0,0,0
642,666,0,163,0,0,0,0,0,0,0,0,0,0,0,0
629,666,78,235,0,0,0,0,0,0,0,0,0,0,0,0
654,692,78,205,0,0,0,0,0,0,0,0,0,0,0,0
646,680,0,85,0,0,0,0,0,0,0,0,0,0,0,0
660,680,0,96,0,122,0,0,0,0,0,0,0,0,0,0
666,680,0,113,0,155,0,0,0,0,0,0,0,0,0,0
655,664,0,143,0,0,0,0,0,0,0,0,0,0,0,0
638,670,0,105,0,0,0,0,0,0,0,0,0,0,0,0
654,687,14,194,0,0,0,0,0,0,0,0,0,0,0,0
649,696,92,223,0,0,0,0,0,0,0,0,0,0,0,0
671,703,31,147,0,0,0,0,0,0,0,0,0,0,0,0
671,702,20,142,0,0,0,0,0,0,0,0,0,0,0,0
671,686,0,138,0,0,0,0,0,0,0,0,0,0,0,0
675,694,0,89,0,250,0,0,0,0,0,0,0,0,0,0
677,693,0,150,0,0,0,0,0,0,0,0,0,0,0,0
664,694,0,93,0,0,0,0,0,0,0,0,0,0,0,0
660,702,49,189,0,0,0,0,0,0,0,0,0,0,0,0
666,713,85,186,0,0,0,0,0,0,0,0,0,0,0,0
670,713,48,136,0,0,0,0,0,0,0,0,0,0,0,0
650,687,0,70,0,0,0,0,0,0,0,0,0,0,0,0
650,678,0,83,0,103,0,0,0,0,0,0,0,0,0,0
658,673,0,97,0,159,0,0,0,0,0,0,0,0,0,0
659,694,0,96,0,196,0,0,0,0,0,0,0,0,0,0
644,684,0,72,0,89,0,0,0,0,0,0,0,0,0,0
640,684,6,156,0,0,0,0,0,0,0,0,0,0,0,0
586,675,165,270,0,0,0,0,0,0,0,0,0,0,0,0
