Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
385,60,0,0,648,652,480,49,0,0,193,0,0,0,0,0
162,0,0,0,395,576,219,0,0,0,90,0,0,0,0,0
104,0,0,0,331,550,194,0,0,0,87,0,0,0,0,0
54,0,0,0,206,465,85,0,0,0,79,0,0,0,0,0
187,0,0,0,462,597,268,0,0,0,90,0,0,0,0,0
243,0,0,0,513,608,350,0,0,0,111,0,0,0,0,0
152,0,0,0,465,609,290,0,0,0,97,0,0,0,0,0
55,0,0,0,140,415,107,0,0,0,71,0,0,0,0,0
110,0,0,0,210,437,186,0,0,0,90,0,0,0,0,0
181,11,1,0,297,459,293,0,0,0,114,0,0,0,0,0
297,99,91,0,399,467,400,50,0,0,134,57,0,0,0,0
313,68,90,0,355,459,353,26,0,0,143,89,0,0,0,0
226,0,10,0,285,431,323,3,0,0,91,52,0,0,0,0
106,0,0,0,17,290,127,0,0,0,5,67,0,0,0,0
108,0,0,0,56,334,101,0,0,0,7,50,0,0,0,0
143,0,0,0,255,421,273,0,0,0,66,5,0,0,0,0
230,0,0,0,447,564,365,0,0,0,96,0,0,0,0,0
272,2,0,0,476,573,423,44,0,0,112,21,0,0,0,0
214,0,0,0,344,498,369,18,0,0,106,26,0,0,0,0
175,0,4,0,176,380,218,0,0,0,106,46,0,0,0,0
206,0,0,0,339,484,276,0,0,0,111,20,0,0,0,0
96,0,0,0,165,383,178,0,0,0,94,0,0,0,0,0
161,0,0,0,355,497,261,0,0,0,111,0,0,0,0,0
302,49,0,0,559,615,433,14,0,0,142,4,0,0,0,0
240,2,0,0,471,554,399,15,0,0,122,0,0,0,0,0
159,0,0,0,362,511,333,0,0,0,109,0,0,0,0,0
116,0,0,0,240,448,236,0,0,0,104,0,0,0,0,0
124,0,0,0,245,473,191,0,0,0,103,0,0,0,0,0
112,0,0,0,377,568,244,0,0,0,102,0,0,0,0,0
213,0,0,0,503,647,343,0,0,0,112,0,0,0,0,0
300,17,0,0,558,682,383,0,0,0,124,0,0,0,0,0
195,0,0,0,473,650,286,0,0,0,110,0,0,0,0,0
100,0,0,0,253,517,138,0,0,0,95,0,0,0,0,0
64,0,0,0,161,476,42,0,0,0,85,0,0,0,0,0
34,0,0,0,63,390,20,0,0,0,84,0,0,0,0,0
44,0,0,0,174,467,117,0,0,0,87,0,0,0,0,0
163,0,0,0,447,630,287,0,0,0,102,0,0,0,0,0
270,8,0,0,557,692,365,0,0,0,122,0,0,0,0,0
182,0,0,0,515,673,308,0,0,0,115,0,0,0,0,0
