Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
226,284,134,0,531,346,630,154,0,0,62,12,16,0,0,0
234,284,139,0,539,373,633,157,0,0,61,12,5,0,0,0
238,273,135,0,539,377,631,150,0,0,54,11,0,0,0,0
212,208,109,0,569,402,646,171,13,0,60,9,0,0,0,0
259,284,171,0,463,269,621,172,16,0,66,22,3,0,0,0
305,321,193,0,563,392,672,219,20,0,88,40,16,0,0,0
347,347,172,0,639,555,699,143,40,0,83,22,0,0,0,0
347,296,119,0,680,600,724,145,61,0,44,4,0,0,0,0
292,311,144,0,591,449,693,186,35,0,61,6,0,0,0,0
188,263,172,0,434,175,646,146,15,0,74,23,0,0,0,0
175,185,64,0,476,300,609,111,0,0,22,0,0,0,0,0
168,177,57,0,519,374,648,135,0,0,32,6,0,0,0,0
107,123,37,0,452,206,610,133,0,0,27,0,0,0,0,0
122,114,40,0,570,213,662,185,0,0,19,0,0,0,0,0
207,198,107,0,615,318,698,238,15,0,39,7,0,0,0,0
256,201,60,0,661,469,712,146,22,0,38,0,0,0,0,0
221,204,144,0,575,213,668,188,23,0,51,1,0,0,0,0
202,139,50,0,572,337,645,132,25,0,35,2,0,0,0,0
212,123,47,0,543,446,612,63,0,0,9,0,0,0,0,0
112,43,0,0,488,420,577,72,0,0,3,0,0,0,0,0
77,10,0,0,522,359,602,109,0,0,7,0,0,0,0,0
121,55,19,0,546,154,653,200,0,0,30,0,0,0,0,0
245,157,116,0,591,262,668,217,20,0,55,13,0,0,0,0
201,109,57,0,503,281,590,119,0,0,34,0,0,0,0,0
143,66,0,0,601,421,648,104,0,0,0,0,0,0,0,0
205,97,48,0,627,358,672,165,28,0,50,0,0,0,0,0
234,54,14,0,649,536,651,61,21,0,9,0,0,0,0,0
193,58,42,0,545,440,605,51,7,0,30,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
132,31,35,0,213,218,424,30,38,0,41,17,0,0,0,0
223,108,22,0,494,311,623,150,74,0,33,11,0,0,0,0
295,178,51,0,606,509,663,109,123,0,65,33,0,0,0,0
301,171,53,0,621,554,672,98,135,0,52,13,0,0,0,0
323,202,58,0,651,600,694,120,154,0,48,18,0,0,0,0
325,256,132,0,582,409,677,197,152,0,59,63,0,0,0,0
362,297,117,0,604,511,674,123,164,0,65,62,0,0,0,0
331,237,60,0,566,495,655,69,77,0,60,42,0,0,0,0
262,145,27,0,573,527,646,44,33,0,45,16,0,0,0,0
