Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,105,0,0,0,0,0,281,0,491,0,0,0,0
0,0,0,34,0,0,0,0,0,301,0,474,0,0,0,0
0,0,0,73,0,0,0,0,0,317,278,484,0,0,0,0
0,0,0,39,0,0,0,0,0,302,264,486,0,0,0,0
0,0,0,91,0,0,0,0,0,333,281,496,0,0,0,0
0,0,0,123,0,0,0,0,0,346,332,506,0,0,0,0
0,0,0,149,0,0,0,0,0,346,348,519,0,0,0,0
0,0,0,143,0,0,0,0,0,221,303,447,0,0,0,0
0,0,0,156,0,0,0,0,0,133,222,424,0,0,0,0
0,0,0,316,0,0,0,0,0,86,223,344,0,0,0,0
0,0,0,306,0,0,0,0,0,61,247,354,0,0,0,0
0,0,0,239,0,0,0,0,0,27,254,358,0,0,0,0
0,0,0,75,0,0,0,0,0,28,270,384,0,0,0,0
0,0,0,100,0,0,0,0,0,131,333,434,0,0,0,0
0,0,0,75,0,0,0,0,0,196,361,464,0,0,0,0
0,0,0,103,0,0,0,0,0,262,376,471,0,0,0,0
0,0,0,91,0,0,0,0,0,275,365,487,0,0,0,0
0,0,0,81,0,0,0,0,0,288,372,493,0,0,0,0
0,0,0,93,0,0,0,0,0,262,367,496,0,0,0,0
0,0,0,64,0,0,0,0,0,164,305,427,0,0,0,0
0,0,0,148,0,0,0,0,0,108,258,430,0,0,0,0
0,0,0,246,0,0,0,0,0,41,207,325,0,0,0,0
0,0,0,292,0,0,0,0,0,28,177,261,0,0,0,0
0,0,0,245,0,0,0,0,0,0,159,270,0,0,0,0
0,0,0,69,0,0,0,0,0,0,251,235,0,0,0,0
0,0,0,96,0,0,0,0,0,62,335,358,0,0,0,0
0,0,0,86,0,0,0,0,0,133,366,418,0,0,0,0
0,0,0,87,0,0,0,0,0,173,378,474,0,0,0,0
0,0,0,69,0,0,0,0,0,210,369,479,0,0,0,0
0,0,0,87,0,0,0,0,0,224,363,484,0,0,0,0
0,0,0,87,0,0,0,0,0,232,373,488,0,0,0,0
0,0,0,88,0,0,0,0,0,133,315,419,0,0,0,0
0,0,0,177,0,0,0,0,0,98,253,399,0,0,0,0
0,0,0,266,0,0,0,0,0,60,210,277,0,0,0,0
0,0,0,290,0,0,0,0,0,0,135,251,0,0,0,0
0,0,0,285,0,0,0,0,0,0,173,281,0,0,0,0
0,0,0,234,0,0,0,0,0,0,230,231,0,0,0,0
0,0,0,87,0,0,0,0,0,0,345,349,0,0,0,0
0,0,0,83,0,0,0,0,0,109,405,388,0,0,0,0
0,0,0,104,0,0,0,0,0,166,378,432,0,0,0,0
0,0,0,122,0,0,0,0,0,195,389,468,0,0,0,0
0,0,0,109,0,0,0,0,0,210,384,479,0,0,0,0
0,0,0,78,0,0,0,0,0,199,401,481,0,0,0,0
0,0,0,132,0,0,0,0,0,111,389,394,0,0,0,0
0,0,0,179,0,0,0,0,0,80,346,362,0,0,0,0
0,0,0,276,0,0,0,0,0,31,302,326,0,0,0,0
0,0,0,306,0,0,0,0,0,0,240,274,0,0,0,0
0,0,0,296,0,0,0,0,0,6,254,271,0,0,0,0
0,0,0,259,0,0,0,0,0,0,282,300,0,0,0,0
0,0,0,127,0,0,0,0,0,33,313,385,0,0,0,0
0,0,0,103,0,0,0,0,0,95,359,419,0,0,0,0
0,0,0,168,0,0,0,0,0,199,389,483,0,0,0,0
0,0,0,162,0,0,0,0,0,208,354,500,0,0,0,0
0,0,0,213,0,0,0,0,0,234,369,513,0,0,0,0
0,0,0,179,0,0,0,0,0,168,294,502,0,0,0,0
0,0,0,47,115,0,0,0,0,0,247,472,0,0,0,0
0,0,0,45,136,0,0,0,0,0,102,378,0,0,0,0
0,0,0,98,100,0,12,0,0,0,132,334,0,0,0,0
0,0,0,72,89,0,22,0,0,0,114,241,0,0,0,0
0,0,0,103,72,0,16,0,0,0,131,219,0,0,0,0
0,0,0,130,50,0,0,0,0,0,156,256,0,0,0,0
0,0,0,180,0,0,0,0,0,0,299,384,0,0,0,0
0,0,0,112,0,0,0,0,0,0,309,410,0,0,0,0
0,0,0,195,0,0,0,0,0,47,358,460,0,0,0,0
0,0,0,217,0,0,0,0,0,99,378,475,0,0,0,0
0,0,0,201,0,0,0,0,0,112,385,483,0,0,0,0
0,0,0,239,0,0,0,0,0,124,389,484,0,0,0,0
0,0,0,217,0,0,0,0,0,79,352,444,0,0,0,0
0,0,0,276,0,0,0,0,0,47,303,406,0,0,0,0
0,0,0,308,0,0,0,0,0,0,227,254,0,0,0,0
0,0,74,381,0,0,0,0,0,0,212,184,0,0,0,0
0,0,89,346,0,0,0,0,0,80,198,200,0,0,0,0
0,0,0,316,0,0,0,0,0,64,288,263,0,0,0,0
0,0,0,208,0,0,0,0,0,0,357,333,0,0,0,0
0,0,0,177,0,0,0,0,0,284,355,457,0,0,0,0
0,0,0,289,0,0,0,0,0,352,382,499,0,0,0,0
0,0,0,263,0,0,0,0,0,401,422,501,0,0,0,0
0,0,0,270,0,0,0,0,0,415,428,499,0,0,0,0
0,0,0,264,0,0,0,0,0,422,442,506,5,0,0,0
0,0,0,252,0,0,0,0,0,403,393,495,0,0,0,0
0,0,0,289,0,0,0,0,0,364,376,473,0,0,0,0
0,0,0,307,0,0,0,0,0,286,331,415,0,0,0,0
0,0,24,334,0,0,0,0,0,239,294,349,0,0,0,0
0,0,64,369,0,0,0,0,0,225,283,335,0,0,0,0
0,0,14,345,0,0,0,0,0,182,281,346,0,0,0,0
0,0,0,261,0,0,0,0,0,170,303,372,0,0,0,0
0,0,0,239,0,0,0,0,0,242,372,461,0,0,0,0
0,0,0,202,0,0,0,0,0,319,408,491,0,0,0,0
0,0,0,230,0,0,0,0,0,362,421,500,0,0,0,0
0,0,0,219,0,0,0,0,0,371,427,510,0,0,0,0
0,0,0,220,0,0,0,0,0,369,408,512,0,0,0,0
0,0,0,232,0,0,0,0,0,346,380,504,0,0,0,0
0,0,0,241,102,0,0,0,0,304,345,437,0,0,0,0
0,0,0,244,145,0,0,0,0,271,275,362,0,0,0,0
0,0,0,246,152,0,0,0,0,206,232,268,0,0,0,0
0,0,0,234,153,0,0,0,0,178,195,211,0,0,0,0
0,0,0,250,136,0,0,0,0,197,218,227,0,0,0,0
0,0,0,138,81,0,0,0,0,18,180,263,0,0,0,0
0,0,0,183,7,0,0,0,0,0,213,397,0,0,0,0
0,0,0,228,0,0,0,0,0,385,333,446,0,0,0,0
0,0,0,69,0,0,0,0,0,338,240,488,0,0,0,0
