Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
134,109,8,0,229,26,286,33,0,0,18,0,26,0,0,0
165,157,26,0,329,72,326,42,0,0,22,0,29,0,0,0
189,182,37,0,385,86,371,66,0,0,21,0,28,0,0,0
138,88,10,0,291,58,307,56,0,0,14,0,0,0,0,0
219,208,76,0,498,323,524,87,0,0,23,0,0,0,0,0
402,405,266,0,629,432,631,224,112,0,67,9,93,0,0,0
514,494,366,0,613,372,645,266,183,0,103,75,419,0,105,0
529,484,317,0,638,490,624,201,193,0,68,41,266,0,0,0
477,457,376,0,511,223,620,278,224,0,100,86,414,0,159,0
448,476,431,0,465,35,627,351,242,0,83,125,533,0,333,0
277,326,347,0,398,2,586,298,123,0,42,68,391,0,140,0
126,182,140,0,371,0,499,215,11,0,13,0,0,0,0,0
362,375,323,0,479,105,617,252,190,0,84,125,346,0,122,0
447,451,377,0,493,63,629,287,191,0,92,166,486,0,223,0
567,491,320,0,592,475,603,135,172,0,64,100,367,0,21,0
572,499,370,0,567,426,618,206,201,0,86,140,467,0,132,0
469,477,407,0,542,157,636,290,133,0,88,155,522,0,256,0
355,373,314,0,582,124,618,293,75,0,36,40,176,0,0,0
148,86,36,0,550,143,513,215,0,0,3,0,0,0,0,0
296,233,61,0,634,371,576,78,12,0,30,0,0,0,0,0
373,378,214,0,638,340,641,161,54,0,75,21,0,0,0,0
460,403,163,0,656,526,576,8,46,0,31,3,0,0,0,0
440,337,100,0,651,562,549,0,48,0,30,0,0,0,0,0
441,430,298,0,643,337,633,239,120,0,64,59,127,0,0,0
354,401,277,0,660,256,643,233,66,0,60,21,77,0,0,0
0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
328,248,298,0,297,159,514,132,189,0,84,20,69,0,0,0
373,344,288,0,563,351,590,179,184,0,112,37,30,0,0,0
408,399,344,0,541,291,584,175,187,0,102,36,128,0,10,0
455,397,256,0,613,531,563,43,176,0,76,10,6,0,0,0
450,406,323,0,584,447,593,143,204,0,91,22,119,0,10,0
420,390,324,0,579,361,601,175,206,0,89,22,79,0,1,0
197,190,159,0,461,119,503,125,59,0,45,0,0,0,0,0
307,206,182,0,484,156,555,106,123,0,69,0,0,0,0,0
396,357,227,0,622,415,620,141,180,0,90,0,0,0,0,0
451,404,262,0,600,448,592,88,184,0,92,4,19,0,0,0
462,386,175,0,624,520,575,25,180,0,77,0,0,0,0,0
467,418,319,0,616,397,614,156,225,0,91,18,133,0,9,0
379,351,233,0,603,334,559,87,139,0,67,0,0,0,0,0
122,90,67,0,519,82,451,124,17,0,22,0,0,0,0,0
123,126,83,0,509,31,490,131,30,0,45,0,0,0,0,0
305,310,174,0,670,339,580,115,101,0,52,0,0,0,0,0
323,321,194,0,572,277,523,38,66,0,40,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
421,336,331,0,454,277,556,204,213,0,69,0,287,0,0,0
444,381,315,0,565,408,609,214,201,0,67,24,263,0,0,0
342,275,214,0,482,310,525,102,111,0,37,16,105,0,0,0
338,250,148,0,557,387,558,95,89,0,31,0,7,0,0,0
414,379,304,0,570,305,596,239,198,0,56,40,259,0,15,0
437,412,308,0,543,276,583,191,198,0,42,43,291,0,41,0
474,410,253,0,602,499,587,56,184,0,15,23,130,0,0,0
479,443,341,0,587,379,622,217,207,0,36,50,313,0,78,0
488,447,346,0,611,408,626,192,207,0,44,52,343,0,80,0
313,295,208,0,453,164,549,98,86,0,11,1,141,0,6,0
351,332,256,0,462,160,589,211,136,0,15,5,99,0,30,0
445,424,273,0,614,237,616,253,163,0,19,40,261,0,0,0
503,461,301,0,594,314,588,123,160,0,35,39,391,0,69,0
530,430,185,0,643,534,543,0,119,0,13,0,102,0,0,0
489,428,282,0,618,394,603,137,162,0,32,18,243,0,0,0
457,417,291,0,630,287,614,192,162,0,28,24,256,0,0,0
302,279,201,0,506,52,550,159,70,0,12,3,65,0,0,0
238,241,219,0,487,19,572,238,76,0,25,0,48,0,0,0
382,396,286,0,618,129,608,184,119,0,40,21,159,0,0,0
468,454,339,0,587,86,586,135,68,0,40,55,496,33,137,0
538,462,294,0,650,408,572,41,103,0,31,32,381,29,0,0
416,428,385,0,556,14,590,217,99,0,42,45,459,0,119,0
444,430,329,0,633,162,577,183,107,0,35,17,306,0,3,0
271,264,216,0,610,82,527,140,56,0,21,0,0,0,0,0
378,390,348,0,494,12,548,121,138,0,52,25,452,30,150,0
479,479,386,0,615,177,585,90,180,0,37,27,494,85,140,0
570,508,376,0,631,331,547,27,201,0,26,19,516,167,66,0
505,473,374,0,635,224,573,116,184,0,31,17,459,57,29,0
479,478,400,0,650,160,596,147,208,0,36,26,489,56,109,0
377,404,332,0,634,86,565,135,157,0,12,5,223,0,0,0
208,218,158,0,638,129,523,155,54,0,9,0,0,0,0,0
415,400,258,0,662,248,592,51,154,0,48,1,43,0,0,0
541,482,283,0,653,406,554,3,198,0,41,15,246,44,0,0
663,531,294,0,673,544,534,0,247,0,34,23,359,113,0,0
544,503,338,0,644,331,574,48,208,0,38,16,367,54,11,0
526,484,328,0,707,444,576,69,227,0,33,11,206,25,0,0
318,298,165,0,645,161,489,136,90,0,3,0,0,0,0,0
55,120,58,0,677,37,560,157,40,0,15,0,0,0,0,0
349,400,174,0,729,413,582,10,77,0,44,0,0,0,0,0
478,471,213,0,688,419,557,9,32,0,31,0,86,0,0,0
460,440,203,0,695,444,559,22,77,0,29,0,6,0,0,0
420,479,300,0,627,120,586,101,81,0,44,10,288,4,0,0
399,454,251,0,683,269,563,75,73,0,23,0,82,0,0,0
354,322,70,0,707,403,508,23,50,0,0,0,0,0,0,0
411,473,312,0,574,58,574,148,80,0,55,26,309,41,20,0
541,518,312,0,608,185,502,24,60,0,24,24,442,139,68,0
640,525,199,0,659,454,457,0,99,0,11,22,272,147,0,0
620,511,232,0,667,431,483,25,88,0,18,21,282,101,0,0
581,512,320,0,632,221,522,143,139,0,17,39,410,121,0,0
515,470,242,0,668,256,517,173,109,0,9,33,262,64,0,0
384,362,120,0,702,277,500,216,71,0,1,0,0,0,0,0
434,495,302,0,618,28,579,263,67,0,16,40,446,84,149,0
505,515,276,0,599,79,481,90,65,0,7,16,428,141,103,0
622,542,236,0,667,366,484,51,156,0,0,19,402,159,0,0
526,509,280,0,648,132,517,179,99,0,0,19,389,112,0,0
495,511,296,0,711,238,537,200,85,0,0,14,317,68,0,0
307,355,253,0,639,1,488,238,71,0,0,0,64,0,0,0
339,343,156,0,697,132,499,169,74,0,0,0,0,0,0,0
520,527,371,0,656,127,556,35,201,0,0,0,450,104,185,0
655,553,322,0,567,199,426,0,233,0,0,0,537,257,203,0
661,532,259,0,648,376,475,0,244,0,0,0,364,177,0,0
525,511,297,0,616,50,509,89,186,0,4,0,431,99,69,0
447,513,312,0,690,37,557,172,181,0,0,0,351,15,37,0
276,340,198,0,618,0,466,118,62,0,0,0,43,0,0,0
253,320,180,0,693,65,515,110,84,0,0,0,0,0,0,0
432,480,217,0,742,322,577,42,149,0,4,0,85,0,0,0
540,522,222,0,661,291,511,0,126,0,10,0,249,8,0,0
533,460,216,0,580,315,470,0,109,0,11,0,151,19,0,0
0,0,290,22,20,0,24,0,188,13,68,42,467,10,296,74
461,441,459,0,528,32,604,249,226,0,1,12,534,26,222,0
412,308,267,0,573,244,520,92,109,0,7,0,128,0,0,0
411,352,288,0,598,221,548,123,115,0,21,0,165,0,0,0
525,487,418,0,589,109,569,143,61,0,0,2,575,110,331,0
491,469,342,0,556,85,511,134,54,0,10,10,508,64,261,0
563,501,352,0,637,258,530,125,78,0,11,13,531,112,220,0
427,470,381,0,501,0,490,182,44,0,0,19,572,52,359,0
528,517,315,0,658,267,542,117,127,0,0,8,496,148,147,0
445,364,184,0,703,404,500,106,92,0,0,0,60,0,0,0
489,488,307,0,635,93,514,112,83,0,0,0,458,111,118,0
500,509,304,0,646,132,519,70,85,0,0,1,471,122,140,0
548,459,217,0,696,406,477,20,83,0,0,0,222,44,0,0
522,457,300,0,662,246,491,87,119,0,0,4,353,26,0,0
479,459,312,0,703,234,528,147,110,0,0,6,287,16,0,0
374,360,256,0,718,263,486,121,52,0,0,0,0,0,0,0
309,284,177,0,723,301,479,131,43,0,0,0,0,0,0,0
433,452,304,0,667,114,527,83,76,0,0,7,285,18,0,0
549,529,362,0,644,189,514,28,94,0,0,10,478,189,86,0
609,542,333,0,654,343,505,11,198,0,0,22,470,241,18,0
529,530,335,0,656,228,516,83,136,0,0,5,430,164,40,0
497,501,322,0,719,303,546,126,126,0,0,0,339,132,0,0
275,291,220,0,647,68,457,206,90,0,0,0,0,0,0,0
346,473,394,0,606,0,586,217,164,0,0,20,377,34,120,0
409,519,391,0,657,6,540,138,97,0,0,0,391,53,62,0
494,511,302,0,698,216,521,37,112,0,0,0,170,16,0,0
403,494,435,0,514,0,534,203,118,0,0,19,489,78,137,0
372,457,460,0,534,0,539,247,133,0,0,46,560,96,281,0
388,435,353,0,630,19,499,114,91,0,0,10,344,0,0,0
375,378,301,0,676,116,520,67,111,0,0,8,125,0,0,0
462,442,296,0,716,271,550,48,152,0,0,6,140,0,0,0
442,442,307,0,642,106,519,72,81,0,0,0,272,5,0,0
412,405,289,0,633,102,512,85,77,0,0,0,220,0,0,0
394,452,366,0,606,0,556,161,122,0,0,26,440,25,61,0
389,419,293,0,691,116,511,143,109,0,0,11,187,0,0,0
320,306,248,0,697,194,477,144,107,0,0,0,0,0,0,0
343,460,353,0,629,0,544,175,133,0,14,54,351,18,51,0
491,494,299,0,652,135,508,95,125,0,8,25,330,166,0,0
558,440,202,0,691,413,456,0,129,0,0,0,65,114,0,0
448,480,362,0,587,6,497,167,110,0,0,23,437,169,72,0
454,504,339,0,679,47,526,216,154,0,0,36,384,134,20,0
