Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
352,298,53,0,590,471,477,100,75,0,17,0,0,0,0,0
358,319,78,0,591,457,491,115,86,0,19,0,24,0,0,0
430,406,174,0,667,550,563,163,104,0,43,16,121,0,0,0
479,462,231,0,696,576,612,208,123,15,67,35,247,0,52,0
495,457,209,0,710,616,615,173,142,4,54,14,170,0,0,0
485,448,166,0,729,655,613,157,117,0,34,0,74,0,0,0
488,454,172,0,736,664,614,147,117,0,36,0,77,0,0,0
447,388,70,0,732,652,590,103,108,0,21,0,0,0,0,0
461,424,153,0,725,618,608,141,122,0,23,5,80,0,0,0
467,418,109,0,738,657,597,106,118,0,27,0,26,0,0,0
473,441,167,0,732,631,617,145,122,0,27,7,104,0,0,0
479,444,171,0,738,649,615,140,126,0,35,0,80,0,0,0
480,447,173,0,738,647,619,159,127,0,34,0,94,0,0,0
477,447,175,0,738,648,620,149,124,0,33,0,91,0,0,0
470,429,124,0,741,658,616,129,119,0,33,0,38,0,0,0
474,435,132,0,742,659,618,116,117,0,38,0,69,0,0,0
476,428,128,0,743,669,610,114,119,0,35,0,35,0,0,0
478,416,100,0,747,683,598,88,117,0,31,0,15,0,0,0
478,412,93,0,748,686,597,88,117,0,33,0,11,0,0,0
476,408,94,0,749,687,597,94,116,0,31,0,9,0,0,0
473,405,93,0,750,686,600,107,112,0,32,0,6,0,0,0
477,394,70,0,753,697,590,86,124,0,30,0,0,0,0,0
483,400,99,0,753,702,586,91,129,0,30,0,0,0,0,0
490,401,106,0,753,707,584,91,122,0,27,0,0,0,0,0
487,401,89,0,755,708,585,84,123,0,24,0,0,0,0,0
483,401,77,0,755,708,584,78,122,0,24,0,0,0,0,0
481,405,90,0,756,705,588,86,123,0,26,0,0,0,0,0
480,402,97,0,758,708,587,88,121,0,24,0,0,0,0,0
477,382,69,0,761,714,578,70,118,0,19,0,0,0,0,0
478,396,85,0,759,702,590,89,118,0,25,0,0,0,0,0
481,400,92,0,761,702,593,94,127,0,19,0,0,0,0,0
483,408,106,0,758,691,598,98,137,0,43,35,13,0,0,0
483,409,99,0,758,692,600,94,137,0,28,12,21,0,0,0
482,407,94,0,759,695,601,79,137,0,24,0,9,0,0,0
484,410,99,0,757,691,603,82,147,0,25,0,25,0,0,0
479,405,92,0,760,697,601,75,128,0,22,0,8,0,0,0
480,410,102,0,757,684,603,90,129,0,22,3,32,0,0,0
476,410,108,0,759,685,604,94,125,0,27,6,24,0,0,0
466,405,94,0,760,684,604,104,115,0,23,0,12,0,0,0
466,403,86,0,762,688,603,104,116,0,23,0,0,0,0,0
466,403,93,0,762,687,604,105,116,0,25,0,5,0,0,0
466,404,71,0,762,687,604,93,111,0,24,0,4,0,0,0
469,407,90,0,762,689,605,108,119,0,24,0,8,0,0,0
459,405,90,0,765,689,610,103,98,0,24,0,17,0,0,0
463,403,82,0,765,695,608,91,106,0,24,0,5,0,0,0
463,396,56,0,766,698,605,87,101,0,20,0,5,0,0,0
462,398,72,0,766,696,607,93,97,0,25,0,20,0,0,0
454,358,46,0,767,699,598,81,100,0,15,0,0,0,0,0
458,353,54,0,767,703,602,89,110,0,14,0,0,0,0,0
462,355,52,0,767,706,606,107,106,0,21,0,0,0,0,0
470,389,96,0,764,692,628,158,121,0,24,0,11,0,0,0
481,386,73,0,764,702,615,123,127,0,22,0,0,0,0,0
479,374,51,0,764,704,607,100,123,0,17,0,0,0,0,0
479,371,51,0,765,710,597,85,117,0,20,0,0,0,0,0
488,365,44,0,766,714,587,80,123,0,13,0,0,0,0,0
480,360,34,0,767,714,589,80,119,0,19,0,0,0,0,0
484,380,55,0,766,706,597,92,126,0,27,0,0,0,0,0
485,380,55,0,766,710,594,89,126,0,28,0,0,0,0,0
493,387,73,0,764,708,597,81,136,0,32,0,0,0,0,0
486,383,59,0,766,709,595,77,129,0,31,0,0,0,0,0
483,381,55,0,767,710,595,77,123,0,33,0,0,0,0,0
486,383,58,0,766,712,591,71,126,0,27,0,0,0,0,0
484,338,33,0,768,716,583,61,131,0,19,0,0,0,0,0
485,355,43,0,769,717,576,59,126,0,26,0,0,0,0,0
483,367,52,0,770,708,589,66,126,0,27,0,0,0,0,0
480,370,55,0,769,706,591,76,124,0,29,0,0,0,0,0
482,375,64,0,769,704,597,80,130,0,30,0,0,0,0,0
488,389,78,0,768,705,599,81,139,0,30,0,6,0,0,0
487,384,68,0,768,711,594,79,130,0,34,0,0,0,0,0
486,383,66,0,769,710,594,78,133,0,34,0,0,0,0,0
487,383,75,0,768,709,595,90,145,0,37,0,0,0,0,0
487,373,54,0,770,716,585,60,143,0,34,0,0,0,0,0
484,377,61,0,770,710,590,74,143,0,33,0,0,0,0,0
483,362,52,0,770,716,586,50,137,0,24,0,0,0,0,0
479,362,54,0,771,713,589,65,139,0,30,0,0,0,0,0
482,368,51,0,770,713,587,67,137,0,28,0,0,0,0,0
485,366,51,0,770,717,582,62,138,0,27,0,0,0,0,0
488,372,57,0,770,718,579,58,142,0,30,0,0,0,0,0
494,373,57,0,769,721,572,55,141,0,27,0,0,0,0,0
493,362,47,0,769,723,561,46,138,0,19,0,0,0,0,0
494,369,50,0,771,723,570,56,141,0,28,0,0,0,0,0
500,384,72,0,768,715,584,74,146,0,36,0,0,0,0,0
502,379,67,0,768,723,569,58,144,0,34,0,0,0,0,0
506,391,79,0,766,717,574,69,147,0,37,0,10,0,0,0
503,380,73,0,768,721,571,61,143,0,35,0,0,0,0,0
505,386,76,0,767,720,575,61,147,0,34,0,3,0,0,0
512,387,79,0,766,724,566,50,148,0,36,0,4,0,0,0
