Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
22,0,0,0,128,0,217,80,0,0,18,0,0,0,0,0
29,0,0,0,155,0,227,73,0,0,14,0,0,0,0,0
25,0,0,0,147,0,233,65,0,0,13,0,0,0,0,0
7,0,0,0,124,0,218,39,0,0,9,0,0,0,0,0
14,0,0,0,157,23,262,0,0,0,0,0,0,0,0,0
17,0,0,0,175,74,284,0,0,0,0,0,0,0,0,0
35,0,0,0,216,173,321,0,0,0,1,0,0,0,0,0
60,6,0,0,265,266,342,0,0,0,0,0,0,0,0,0
77,4,0,0,338,342,362,0,0,0,0,0,0,0,0,0
122,3,0,0,412,427,384,0,0,0,0,0,0,0,0,0
117,0,0,0,383,401,356,0,0,0,0,0,0,0,0,0
94,0,0,0,340,314,320,0,0,0,0,0,0,0,0,0
16,0,0,0,352,73,338,12,0,0,10,0,0,0,0,0
46,0,0,0,55,0,206,88,0,0,36,0,0,0,0,0
23,0,0,0,30,0,188,91,0,0,37,0,0,0,0,0
52,0,0,0,185,9,239,0,0,0,11,0,0,0,0,0
73,0,0,0,207,204,285,0,0,0,11,0,0,0,0,0
99,0,0,0,235,281,337,0,0,0,15,0,0,0,0,0
117,0,0,0,305,342,359,0,0,0,1,0,0,0,0,0
151,0,0,0,391,418,361,0,0,0,0,0,0,0,0,0
173,0,0,0,427,471,375,0,0,0,0,0,0,0,0,0
158,0,0,0,371,419,348,0,0,0,1,0,0,0,0,0
92,0,0,0,343,306,334,0,0,0,1,0,0,0,0,0
31,0,0,0,259,53,290,15,0,0,9,0,0,0,0,0
0,0,0,0,51,0,266,115,0,0,45,0,0,0,0,0
0,0,0,0,10,0,104,67,0,0,32,0,0,0,0,0
7,0,0,0,188,0,279,0,0,0,6,0,0,0,0,0
57,0,0,0,267,210,300,0,0,0,0,0,0,0,0,0
74,0,0,0,360,312,332,0,0,0,0,0,0,0,0,0
107,0,0,0,412,369,359,0,0,0,0,0,0,0,0,0
106,0,0,0,477,431,376,0,0,0,0,0,0,0,0,0
116,0,0,0,455,410,374,0,0,0,0,0,0,0,0,0
70,0,0,0,378,274,357,0,0,0,0,0,0,0,0,0
50,0,0,0,361,166,300,0,0,0,4,0,0,0,0,0
6,0,0,0,96,0,203,51,0,0,24,0,0,0,0,0
5,0,0,0,85,0,177,15,0,0,5,0,0,0,0,0
48,0,0,0,196,138,217,0,0,0,15,0,0,0,0,0
81,0,0,0,285,292,287,0,0,0,0,0,0,0,0,0
79,0,0,0,323,353,310,0,0,0,0,0,0,0,0,0
93,0,0,0,395,409,332,0,0,0,0,0,0,0,0,0
118,0,0,0,458,478,349,0,0,0,0,0,0,0,0,0
135,0,0,0,423,456,341,0,0,0,0,0,0,0,0,0
94,0,0,0,417,395,313,0,0,0,0,0,0,0,0,0
54,0,0,0,339,179,290,0,0,0,0,0,0,0,0,0
0,0,0,0,43,0,242,99,0,0,45,0,0,0,0,0
0,0,0,0,8,0,10,80,0,0,39,0,0,0,0,0
2,0,0,0,61,0,193,5,0,0,0,0,0,0,0,0
29,0,0,0,236,154,287,0,0,0,0,0,0,0,0,0
53,0,0,0,257,229,339,0,0,0,0,0,0,0,0,0
76,0,0,0,356,312,377,0,0,0,0,0,0,0,0,0
100,0,0,0,450,402,413,0,0,0,0,0,0,0,0,0
90,0,0,0,464,407,410,0,0,0,0,0,0,0,0,0
75,0,0,0,413,323,368,0,0,0,0,0,0,0,0,0
31,0,0,0,377,203,276,0,0,0,0,0,0,0,0,0
54,0,0,0,63,4,140,28,0,0,10,0,0,0,0,0
0,0,0,0,31,0,153,80,0,0,35,0,0,0,0,0
12,0,0,0,131,0,175,13,0,0,0,0,0,0,0,0
37,0,0,0,211,80,249,0,0,0,0,0,0,0,0,0
65,0,0,0,281,235,285,0,0,0,0,0,0,0,0,0
80,0,0,0,368,333,320,0,0,0,0,0,0,0,0,0
74,0,0,0,432,421,356,0,0,0,0,0,0,0,0,0
80,0,0,0,500,462,357,0,0,0,0,0,0,0,0,0
75,0,0,0,445,408,332,0,0,0,0,0,0,0,0,0
76,0,0,0,433,349,310,0,0,0,0,0,0,0,0,0
67,0,0,0,297,119,274,2,0,0,0,0,0,0,0,0
0,0,0,0,35,0,267,98,0,0,26,0,0,0,0,0
0,0,0,0,13,0,153,60,0,0,10,0,0,0,0,0
7,0,0,0,171,0,254,0,0,0,0,0,0,0,0,0
59,5,0,0,228,202,312,0,0,0,0,0,0,0,0,0
43,0,0,0,346,298,359,0,0,0,0,0,0,0,0,0
67,0,0,0,441,396,395,0,0,0,0,0,0,0,0,0
89,0,0,0,476,435,401,0,0,0,0,0,0,0,0,0
88,0,0,0,434,394,378,0,0,0,0,0,0,0,0,0
17,0,0,0,397,214,370,0,0,0,0,0,0,0,0,0
5,0,0,0,316,29,304,0,0,0,0,0,0,0,0,0
0,0,0,0,132,0,285,67,0,0,7,0,0,0,0,0
0,0,0,0,13,0,203,59,0,0,19,0,0,0,0,0
8,0,0,0,251,42,272,0,0,0,0,0,0,0,0,0
30,0,0,0,248,153,319,0,0,0,0,0,0,0,0,0
89,0,0,0,255,274,343,0,0,0,0,0,0,0,0,0
92,0,0,0,300,355,358,0,0,0,0,0,0,0,0,0
114,0,0,0,410,458,375,0,0,0,0,0,0,0,0,0
146,0,0,0,446,462,390,0,0,0,0,0,0,0,0,0
128,0,0,0,417,352,363,0,0,0,0,0,0,0,0,0
54,0,0,0,310,207,285,0,0,0,0,0,0,0,0,0
9,0,0,0,262,7,237,14,0,0,0,0,0,0,0,0
0,0,0,0,25,0,156,92,0,0,28,0,0,0,0,0
0,0,0,0,6,0,166,35,0,0,17,0,0,0,0,0
9,0,0,0,147,3,251,0,0,0,0,0,0,0,0,0
9,0,0,0,145,89,314,0,0,0,4,0,0,0,0,0
78,0,0,0,255,239,349,0,0,0,14,0,0,0,0,0
88,0,0,0,358,361,380,0,0,0,0,0,0,0,0,0
111,0,0,0,436,434,395,0,0,0,0,0,0,0,0,0
137,37,0,0,324,330,414,0,0,0,19,0,0,0,0,0
71,0,0,0,293,217,348,0,0,0,9,0,0,0,0,0
50,0,0,0,263,65,309,16,0,0,11,0,0,0,0,0
0,0,0,0,29,0,207,149,0,0,32,0,11,0,0,0
0,0,0,0,12,0,5,101,0,0,39,0,0,0,0,0
1,0,0,0,128,0,253,0,0,0,13,0,0,0,0,0
20,0,0,0,219,120,325,0,0,0,0,0,0,0,0,0
113,26,0,0,219,254,329,0,0,0,0,0,18,0,0,0
146,19,0,0,337,387,324,0,0,0,0,0,0,0,0,0
192,0,0,0,419,472,332,0,0,0,0,0,0,0,0,0
210,0,0,0,423,482,332,0,0,0,0,0,0,0,0,0
154,0,0,0,362,322,331,0,0,0,0,0,0,0,0,0
