Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,239,296,0,0,0,0,0,408,0,0,184,0,90,0
0,0,155,236,0,0,0,0,0,405,0,0,151,0,84,0
0,0,136,191,0,0,0,0,0,401,0,0,169,0,80,0
0,0,129,190,0,0,0,0,0,395,0,0,172,0,57,0
0,0,169,218,0,0,0,0,0,409,0,0,202,0,74,0
0,0,162,224,0,0,0,0,0,418,0,0,195,0,93,0
0,0,145,219,0,0,0,0,0,401,0,0,159,0,66,0
0,0,175,231,0,0,0,0,0,424,0,0,165,0,69,0
0,0,146,234,0,0,0,0,0,430,0,0,100,0,10,0
0,0,89,206,0,0,0,0,0,410,0,0,99,0,16,0
0,0,13,195,0,0,0,0,0,395,0,0,46,0,4,0
0,0,169,226,0,0,0,0,0,464,0,0,191,0,35,0
0,0,139,267,0,0,0,0,0,466,0,0,173,0,24,0
0,0,172,332,0,0,0,0,0,337,0,0,0,0,0,0
0,0,323,401,95,0,7,0,0,355,0,0,32,0,0,0
0,0,182,235,0,0,0,0,0,359,0,0,34,0,0,0
0,0,234,175,0,0,0,0,0,430,0,0,185,0,95,0
0,0,240,142,0,0,0,0,0,433,0,0,183,0,101,0
0,0,229,189,0,0,0,0,0,416,0,0,165,0,79,0
0,0,157,162,0,0,0,0,0,356,0,0,55,0,20,0
0,0,132,154,0,0,0,0,0,371,0,0,43,0,8,0
0,0,115,159,0,0,0,0,0,379,0,0,36,0,6,0
0,0,100,156,0,0,0,0,0,374,0,0,27,0,0,0
0,0,17,158,0,0,0,0,0,348,0,0,0,0,0,0
0,0,210,253,0,0,0,0,0,431,0,0,143,0,70,0
0,0,175,234,0,0,0,0,0,415,0,0,105,0,60,0
0,0,338,401,0,0,0,0,0,343,0,0,125,0,62,0
0,0,367,425,135,0,0,0,0,320,0,0,0,0,0,0
0,0,277,353,0,0,0,0,0,329,0,0,0,0,0,0
0,0,19,57,0,0,0,0,0,379,0,0,19,0,38,0
0,0,161,206,0,0,0,0,0,420,0,0,119,0,97,0
0,0,100,148,0,0,0,0,0,418,0,0,97,0,90,0
0,0,84,184,0,0,0,0,0,369,0,0,0,0,24,0
0,0,0,158,0,0,0,0,0,354,0,0,0,0,0,0
0,0,43,187,0,0,0,0,0,347,0,0,0,0,13,0
0,0,24,176,0,0,0,0,0,357,0,0,0,0,14,0
0,0,19,184,0,0,0,0,0,371,0,0,0,0,13,0
0,0,68,183,0,0,0,0,0,396,0,0,0,0,59,0
0,0,201,234,0,0,0,0,0,458,0,0,130,0,70,0
0,0,195,314,0,0,0,0,0,342,0,0,0,0,0,0
0,0,352,412,104,0,0,0,0,326,0,0,0,0,0,0
0,0,306,341,0,0,0,0,0,355,0,0,0,0,0,0
0,0,125,102,0,0,0,0,0,378,0,0,0,0,0,0
0,0,171,101,0,0,0,0,0,419,0,0,78,0,0,0
0,0,174,163,0,0,0,0,0,420,0,0,28,0,7,0
0,0,96,136,0,0,0,0,0,369,0,0,0,0,0,0
0,0,85,174,0,0,0,0,0,360,0,0,0,0,0,0
0,0,61,180,0,0,0,0,0,366,0,0,0,0,0,0
0,0,36,178,0,0,0,0,0,366,0,0,0,0,0,0
0,0,5,159,0,0,0,0,0,368,0,0,0,0,0,0
0,0,29,173,0,0,0,0,0,393,0,0,0,0,0,0
0,0,160,163,0,0,0,0,0,481,0,0,278,0,132,0
0,0,194,214,0,0,0,0,0,380,0,0,237,0,74,0
0,0,327,266,0,0,0,0,0,318,0,0,225,0,50,0
0,0,284,105,0,0,0,0,0,321,0,0,38,0,0,0
0,0,228,29,0,0,0,0,0,380,0,0,154,0,112,0
0,0,203,12,0,0,0,0,0,443,0,0,203,0,117,0
0,0,199,1,0,0,0,0,0,436,0,0,169,0,101,0
0,0,86,12,0,0,0,0,0,373,0,0,57,0,55,0
0,0,27,5,0,0,0,0,0,365,0,0,12,0,17,0
0,0,66,16,0,0,0,0,0,367,0,0,10,0,19,0
0,0,5,23,0,0,0,0,0,368,0,0,0,0,14,0
0,0,24,28,0,0,0,0,0,376,0,0,14,0,27,0
0,0,14,40,0,0,0,0,0,392,0,0,27,0,68,0
0,0,223,85,0,0,0,0,0,456,0,0,186,0,122,0
0,0,273,253,0,0,0,0,0,355,0,0,0,0,40,0
0,0,353,373,125,0,0,0,0,286,0,0,0,0,0,0
0,0,282,170,0,0,0,0,0,305,0,0,0,0,0,0
0,0,193,57,0,0,0,0,0,377,0,0,20,0,67,0
0,0,294,156,0,0,0,0,0,425,0,0,119,0,82,0
