Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,148,102,155,240,0,0,38,0,0,0,0,0
11,0,0,0,294,220,317,303,23,0,22,0,0,0,0,0
89,3,0,0,393,235,412,369,54,0,60,0,0,0,0,0
173,67,0,8,522,406,518,424,86,0,79,7,0,0,0,0
82,23,0,15,425,304,481,433,48,0,80,18,0,0,0,0
32,0,0,0,372,278,412,383,32,0,44,0,0,0,0,0
0,0,0,0,290,208,332,315,6,0,28,0,0,0,0,0
37,0,0,0,407,299,402,367,16,0,31,0,0,0,0,0
148,29,0,0,536,418,514,427,77,0,48,0,0,0,0,0
154,67,0,10,496,294,521,446,77,0,77,7,0,0,0,0
83,34,0,14,369,205,472,439,45,0,79,16,0,0,0,0
46,0,0,0,389,299,449,415,39,0,44,0,0,0,0,0
30,0,0,0,388,309,423,379,19,0,22,0,0,0,0,0
33,0,0,0,386,310,400,361,8,0,20,0,0,0,0,0
110,0,0,0,494,420,485,406,81,0,27,0,0,0,0,0
135,12,0,0,458,306,488,429,107,0,49,0,0,0,0,0
150,44,0,1,491,322,526,449,91,0,68,1,0,0,0,0
99,13,0,0,410,282,474,437,72,0,68,12,0,0,0,0
62,0,0,0,404,322,418,381,43,0,41,0,0,0,0,0
6,0,0,0,273,197,266,281,0,0,17,0,0,0,0,0
87,0,0,0,473,378,414,358,32,0,29,0,0,0,0,0
172,22,0,0,576,487,526,422,94,0,32,0,0,0,0,0
184,52,0,0,552,406,528,431,78,0,55,0,0,0,0,0
152,29,0,0,495,362,488,422,94,0,73,17,0,0,0,0
98,0,0,0,463,385,432,380,85,0,71,11,0,0,0,0
29,0,0,0,367,296,363,316,46,0,40,0,0,0,0,0
3,0,0,0,302,230,287,273,18,0,26,0,0,0,0,0
100,0,0,0,497,424,454,368,69,0,30,0,0,0,0,0
136,23,0,0,470,316,475,404,76,0,59,0,0,0,0,0
133,42,0,0,371,198,432,393,54,0,83,35,0,0,0,0
122,18,0,8,365,268,410,398,91,0,142,213,0,0,0,0
69,0,0,0,371,301,362,350,67,0,101,140,0,0,0,0
28,0,0,0,317,250,253,273,36,0,67,93,0,0,0,0
52,0,0,0,386,307,326,297,44,0,60,17,0,0,0,0
162,22,0,0,490,417,437,368,103,0,66,8,0,0,0,0
236,64,0,0,495,405,476,407,133,0,70,14,0,0,0,0
245,43,0,0,510,444,492,426,141,0,67,8,0,0,0,0
163,11,0,0,445,429,408,361,121,0,60,11,0,0,0,0
120,0,0,0,428,406,357,304,91,0,38,0,0,0,0,0
44,0,0,0,303,269,206,215,37,0,31,0,0,0,0,0
66,0,0,0,405,372,324,299,61,0,22,0,0,0,0,0
139,4,0,0,371,272,355,362,118,0,50,0,0,0,0,0
184,60,0,0,472,369,448,403,118,0,55,0,0,0,0,0
232,100,0,0,522,434,492,429,103,0,68,5,0,0,0,0
195,43,0,0,526,463,476,411,107,0,63,0,0,0,0,0
87,1,0,0,426,374,382,352,47,0,48,0,0,0,0,0
