Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
109,0,0,0,668,722,0,100,105,0,0,0,0,0,0,0
96,0,0,0,665,709,0,114,87,0,0,0,0,0,0,0
100,0,0,0,699,727,0,234,59,0,0,0,0,0,0,0
116,0,0,0,744,769,0,218,82,0,0,0,0,0,0,0
66,0,0,0,748,772,0,183,61,0,0,0,0,0,0,0
52,0,0,0,749,779,0,190,52,0,0,0,0,0,0,0
41,0,0,0,751,777,0,117,55,0,0,0,0,0,0,0
58,0,0,0,753,782,0,127,70,0,0,0,0,0,0,0
63,0,0,0,746,767,0,147,75,0,0,0,0,0,0,0
63,0,0,0,750,783,0,66,59,0,0,0,0,0,0,0
72,0,0,0,755,790,0,72,74,0,0,0,0,0,0,0
57,0,0,0,753,783,0,104,63,0,0,0,0,0,0,0
52,0,0,0,756,784,0,95,68,0,0,0,0,0,0,0
63,0,0,0,755,780,0,117,67,0,0,0,0,0,0,0
71,0,0,0,757,785,0,100,75,0,0,0,0,0,0,0
49,0,0,0,758,784,0,91,70,0,0,0,0,0,0,0
58,0,0,0,757,783,0,107,71,0,0,0,0,0,0,0
57,0,0,0,758,783,0,98,73,0,0,0,0,0,0,0
59,0,0,0,758,786,0,99,59,0,0,0,0,0,0,0
75,0,0,0,759,783,0,115,72,0,0,0,0,0,0,0
85,0,0,0,759,787,0,116,83,0,0,0,0,0,0,0
75,0,0,0,759,787,0,106,82,0,0,0,0,0,0,0
62,0,0,0,759,786,0,104,80,0,0,0,0,0,0,0
56,0,0,0,760,783,0,129,77,0,0,0,0,0,0,0
76,0,0,0,759,783,0,127,78,0,0,0,0,0,0,0
76,0,0,0,759,787,0,87,103,0,0,0,0,0,0,0
116,0,0,0,759,788,0,95,95,0,0,0,0,0,0,0
84,0,0,0,760,792,0,94,87,0,0,0,0,0,0,0
88,0,0,0,761,791,0,101,86,0,0,0,0,0,0,0
85,0,0,0,760,789,0,114,85,0,0,0,0,0,0,0
95,0,0,0,759,789,0,111,85,0,0,0,0,0,0,0
112,0,0,0,760,790,0,118,87,0,0,0,0,0,0,0
93,0,0,0,760,782,0,119,80,0,0,0,0,0,0,0
96,0,0,0,762,789,0,104,85,0,0,0,0,0,0,0
113,0,0,0,758,767,0,164,83,0,0,0,0,0,0,0
112,0,0,0,758,774,0,149,82,0,0,0,0,0,0,0
94,0,0,0,758,777,0,126,80,0,0,0,0,0,0,0
120,0,0,0,760,783,0,120,85,0,0,0,0,0,0,0
105,0,0,0,760,784,0,113,82,0,0,0,0,0,0,0
105,0,0,0,760,787,0,102,77,0,0,0,0,0,0,0
103,0,0,0,760,786,0,119,58,0,0,0,0,0,0,0
104,0,0,0,760,785,0,121,73,0,0,0,0,0,0,0
96,0,0,0,760,784,0,95,82,0,0,0,0,0,0,0
105,0,0,0,760,780,0,134,74,0,0,0,0,0,0,0
101,0,0,0,756,767,0,155,75,0,0,0,0,0,0,0
118,0,0,0,759,776,0,137,80,0,0,0,0,0,0,0
128,0,0,0,760,778,0,140,83,0,0,0,0,0,0,0
116,0,0,0,760,778,0,142,75,0,0,0,0,0,0,0
134,0,0,0,761,779,0,150,74,0,0,0,0,0,0,0
134,0,0,0,761,779,0,138,68,0,0,0,0,0,0,0
135,0,0,0,762,781,0,138,68,0,0,0,0,0,0,0
167,0,0,0,761,770,0,196,66,0,0,0,0,0,0,0
178,1,0,0,752,756,0,190,81,0,0,0,0,0,0,0
188,1,0,0,756,768,0,158,81,0,0,0,0,0,0,0
181,0,0,0,758,771,0,156,77,0,0,0,0,0,0,0
202,8,0,0,753,758,0,197,70,0,0,0,0,0,0,0
189,4,0,0,752,763,0,171,54,0,0,0,0,0,0,0
185,4,0,0,753,767,0,149,43,0,0,0,0,0,0,0
185,10,0,0,753,764,0,168,38,0,0,0,0,0,0,0
194,12,0,0,755,770,0,149,40,0,0,0,0,0,0,0
188,11,0,0,754,769,0,155,41,0,0,0,0,0,0,0
199,13,0,0,756,775,0,140,29,0,0,0,0,0,0,0
188,7,0,0,756,771,0,146,24,0,0,0,0,0,0,0
199,15,0,0,757,773,0,148,30,0,0,0,0,0,0,0
205,13,0,0,758,779,0,130,31,0,0,0,0,0,0,0
230,29,0,0,761,777,0,167,34,0,0,0,0,0,0,0
