Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
187,0,0,0,746,775,0,258,0,0,40,0,0,0,0,0
264,18,0,0,744,781,0,271,0,0,81,0,0,0,0,0
299,69,0,0,736,775,0,285,0,0,123,0,0,0,0,0
407,356,225,0,698,735,0,349,0,4,192,3,0,0,0,0
371,234,60,0,728,766,0,293,0,0,182,0,0,0,0,0
329,145,0,0,746,787,0,265,0,0,136,0,0,0,0,0
293,69,0,0,758,798,0,216,0,0,104,0,0,0,0,0
239,15,0,0,754,791,0,198,0,0,66,0,0,0,0,0
191,0,0,0,752,788,0,198,0,0,18,0,0,0,0,0
179,0,0,0,755,789,0,213,0,0,12,0,0,0,0,0
145,0,0,0,757,792,0,212,0,0,5,0,0,0,0,0
143,0,0,0,760,796,0,213,0,0,1,0,0,0,0,0
183,0,0,0,765,806,0,198,0,0,3,0,0,0,0,0
187,0,0,0,759,797,0,231,0,0,0,0,0,0,0,0
192,0,0,0,760,799,0,253,0,0,2,0,0,0,0,0
194,3,0,0,755,795,0,238,0,0,0,0,0,0,0,0
187,0,0,0,751,795,0,238,0,0,0,0,0,0,0,0
177,0,0,0,749,792,0,230,0,0,0,0,0,0,0,0
184,1,0,0,751,793,0,261,0,0,0,0,0,0,0,0
179,0,0,0,758,800,0,252,0,0,0,0,0,0,0,0
188,0,0,0,760,803,0,251,0,0,0,0,0,0,0,0
184,1,0,0,755,793,0,271,0,0,0,0,0,0,0,0
160,4,0,0,753,785,0,252,0,0,0,0,0,0,0,0
175,9,0,0,759,790,0,264,0,0,0,0,0,0,0,0
167,8,0,0,758,783,0,302,0,0,0,0,0,0,0,0
157,0,0,0,765,797,0,297,0,0,0,0,0,0,0,0
148,0,0,0,768,802,0,268,0,0,0,0,0,0,0,0
140,0,0,0,762,797,0,273,0,0,0,0,0,0,0,0
141,0,0,0,756,788,0,295,0,0,0,0,0,0,0,0
154,0,0,0,761,792,0,308,0,0,0,0,0,0,0,0
122,0,0,0,765,794,0,308,0,0,0,0,0,0,0,0
147,0,0,0,764,792,0,314,0,0,0,0,0,0,0,0
176,8,0,0,760,794,0,291,0,0,0,0,0,0,0,0
181,9,0,0,757,801,0,262,0,0,0,0,0,0,0,0
178,9,0,0,725,779,0,261,0,0,0,0,0,0,0,0
186,5,0,0,740,798,0,244,0,0,0,0,0,0,0,0
183,6,0,0,743,802,0,255,0,0,0,0,0,0,0,0
172,1,0,0,746,803,0,263,0,0,0,0,0,0,0,0
176,5,0,0,748,801,0,278,0,0,0,0,0,0,0,0
191,26,0,0,743,787,0,320,0,0,0,0,0,0,0,0
191,26,0,0,742,783,0,357,0,0,0,0,0,0,0,0
194,37,0,0,749,785,0,357,0,0,0,0,0,0,0,0
208,47,0,0,754,790,0,360,0,0,0,0,0,0,0,0
246,42,0,0,758,798,0,345,0,0,0,0,0,0,0,0
183,5,0,0,766,805,0,283,0,0,0,0,0,0,0,0
180,7,0,0,752,793,0,296,0,0,0,0,0,0,0,0
183,12,0,0,753,795,0,272,0,0,0,0,0,0,0,0
207,13,0,0,759,804,0,254,0,0,0,0,0,0,0,0
232,31,0,0,763,812,0,203,0,0,0,0,0,0,0,0
302,94,0,0,770,824,0,175,0,0,1,0,0,0,0,0
297,112,0,0,766,822,0,199,0,0,0,0,0,0,0,0
397,147,0,0,743,814,0,240,0,0,128,0,0,0,0,0
341,185,0,0,718,784,0,297,0,0,48,0,0,0,0,0
346,156,0,0,742,803,0,255,0,0,5,0,0,0,0,0
310,94,0,0,743,804,0,216,0,0,0,0,0,0,0,0
318,110,0,0,749,811,0,227,0,0,0,0,0,0,0,0
297,94,0,0,752,811,0,231,0,0,0,0,0,0,0,0
294,130,0,0,738,793,0,262,0,0,0,0,0,0,0,0
272,95,0,0,753,805,0,262,0,0,0,0,0,0,0,0
262,79,0,0,752,802,0,263,0,0,0,0,0,0,0,0
260,87,0,0,747,793,0,279,0,0,0,0,0,0,0,0
262,57,0,0,770,818,0,229,0,0,0,0,0,0,0,0
